"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.942964700E-2,-4.496310711E0,5.956773758E0,1.033936024E1
2.958302200E-2,-3.136404276E0,6.039373875E0,8.980650902E0
3.943570900E-2,-2.744952202E0,6.078877926E0,8.298302650E0
4.936805300E-2,-2.919728994E0,5.989095688E0,6.864176273E0
5.958972500E-2,-2.834734917E0,5.902904510E0,5.534197330E0
6.942406100E-2,-2.238578558E0,5.831078053E0,5.693411827E0
7.934672900E-2,-1.630451322E0,5.519832134E0,7.468712330E0
8.933256300E-2,-1.741781712E0,4.963180065E0,1.034774017E1
9.933398000E-2,-2.610877037E0,4.417302132E0,1.371877575E1
1.094286880E-1,-3.029862165E0,3.617638826E0,1.523909378E1
1.194150420E-1,-2.868253708E0,2.266111851E0,1.546893692E1
1.293792190E-1,-2.359485865E0,1.132457376E0,1.401206589E1
1.393483080E-1,-2.406172752E0,1.711854190E-1,1.217092419E1
1.493588520E-1,-8.655039072E-1,4.884171486E-1,1.006043530E1
1.593246240E-1,1.085770488E0,1.546654344E0,6.623558998E0
1.694535100E-1,1.520318031E0,3.009511471E0,4.819528103E0
1.794349530E-1,2.422932148E0,4.717774391E0,4.155137062E0
1.894346750E-1,1.092953086E0,5.361814499E0,7.179013729E0
1.993665360E-1,-2.064998865E0,4.940435410E0,1.279461384E1
2.093384660E-1,-2.640804529E0,1.430535555E0,1.114381218E1
2.193104310E-1,-1.327584863E0,1.550245643E0,1.010113716E1
2.293909140E-1,-5.865794420E-1,2.740163803E0,1.001255131E1
2.393306550E-1,2.753331885E-2,3.772064686E0,8.755595207E0
2.493300260E-1,3.339911401E-1,3.799597979E0,7.575253963E0
2.593837110E-1,6.703764796E-1,3.388992548E0,7.529764175E0
2.693395540E-1,1.361103654E0,3.174711466E0,7.854178905E0
2.792909750E-1,1.922544003E0,3.004723072E0,7.987056732E0
2.893556860E-1,2.118868589E0,2.562992811E0,7.836222172E0
2.993850410E-1,2.144007683E0,2.302024841E0,7.588422298E0
3.093567190E-1,1.999158382E0,2.345120668E0,7.698555470E0
3.193205580E-1,1.792060018E0,2.310404539E0,7.863755703E0
3.293584770E-1,1.628057122E0,1.928529501E0,7.526173115E0
3.393779370E-1,1.088164687E0,1.264138460E0,6.803123951E0
3.494011670E-1,4.165911078E-1,6.165069342E-1,6.271611214E0
3.593462820E-1,-4.608838260E-1,-1.819593310E-1,8.324639320E0
3.693828390E-1,-5.015852451E-1,-7.182604820E-2,7.447164536E0
3.793771180E-1,1.544260085E-1,-4.177882075E-1,8.791508675E0
3.893372570E-1,-1.161187813E-1,-1.039083481E0,8.646659851E0
3.993203270E-1,-4.489128292E-1,-1.309628367E0,8.418013573E0
4.093498620E-1,-6.200982332E-1,-1.478419542E0,8.580819130E0
4.193256290E-1,-9.720458984E-1,-1.775300503E0,8.771158218E0
4.293150130E-1,-1.583764434E0,-2.377442360E0,9.109937668E0
4.393057050E-1,-1.950077295E0,-2.900575399E0,9.337387085E0
4.494160510E-1,-1.660378933E0,-2.509123325E0,9.653421402E0
4.594702240E-1,-9.756371975E-1,-1.454477549E0,1.026035118E1
4.694128100E-1,-3.256114423E-1,-4.058171809E-1,1.095826149E1
4.793946030E-1,1.472434103E-1,4.764461517E-1,1.161187840E1
4.895640000E-1,4.752490520E-1,1.090558887E0,1.228464890E1
4.994156980E-1,6.847416759E-1,1.499967337E0,1.293946266E1
5.093500470E-1,8.702923059E-1,1.932120800E0,1.341590881E1
5.192972220E-1,1.108515382E0,2.445677042E0,1.372835255E1
5.292808090E-1,1.304839969E0,3.023876667E0,1.382052898E1
5.393491030E-1,1.295263171E0,3.558980942E0,1.355118179E1
5.493517500E-1,1.265335560E0,3.970783472E0,1.329380512E1
5.594310730E-1,1.023521185E0,4.163516521E0,1.305318737E1
5.693837350E-1,8.164227605E-1,4.181473255E0,1.318127728E1
5.793475660E-1,7.996633649E-1,4.356249809E0,1.376905441E1
5.893414810E-1,8.690952063E-1,4.565742493E0,1.442506504E1
5.993349390E-1,7.972691655E-1,4.666299343E0,1.443224812E1
6.093361680E-1,7.098808289E-1,4.671087742E0,1.397495556E1
6.193192820E-1,7.517793179E-1,4.641160011E0,1.359068584E1
6.293553390E-1,8.750807047E-1,4.698620796E0,1.311304283E1
6.395028680E-1,8.427590132E-1,4.778826714E0,1.258033276E1
6.495806320E-1,6.955155730E-1,4.738125324E0,1.205959415E1
6.594780140E-1,5.734112859E-1,4.702212334E0,1.169328117E1
6.694207050E-1,4.489128292E-1,4.647145271E0,1.129464626E1
6.793655510E-1,4.429273009E-1,4.587290287E0,1.043752193E1
6.893579740E-1,6.356605291E-1,4.821922302E0,9.277531624E0
6.993311850E-1,7.146692276E-1,5.104437828E0,8.172607422E0
7.093992910E-1,7.996633649E-1,5.279214859E0,7.289146900E0
7.193753440E-1,7.984662652E-1,5.243301868E0,6.807912350E0
7.293473700E-1,4.106055796E-1,4.722562790E0,6.420052052E0
7.393543830E-1,1.771709323E-1,4.489128113E0,6.293159008E0
7.493863900E-1,-2.118868530E-1,4.241328239E0,6.007051945E0
7.593498930E-1,-6.440402865E-1,3.705027103E0,5.313930511E0
7.693766450E-1,-8.726865053E-1,3.311181068E0,4.084507942E0
7.793685210E-1,-4.321534038E-1,3.904942989E0,3.703830004E0
7.901304590E-1,1.017535701E-1,4.197035789E0,3.069366693E0
7.997094280E-1,6.344634295E-2,4.176684856E0,1.981201887E0
8.095459120E-1,-3.711012751E-2,4.042609692E0,1.393425345E0
8.194416540E-1,2.023100406E-1,3.837905407E0,1.358709455E0
8.294165250E-1,3.818751574E-1,3.487154722E0,1.716642618E0
8.393739610E-1,2.501940727E-1,2.973598480E0,1.702277422E0
8.494006790E-1,2.094926536E-1,2.686294317E0,1.398213744E0
8.593595380E-1,3.160346150E-1,2.442085743E0,1.296460271E0
8.693539670E-1,2.549824715E-1,1.963245392E0,1.128866076E0
8.796141820E-1,-1.316810958E-2,1.459265947E0,8.116343617E-1
8.895577890E-1,-5.985504389E-2,1.186326981E0,8.559271097E-1
8.994535930E-1,1.640028208E-1,1.048660398E0,1.662773132E0
9.094949950E-1,5.997475386E-1,6.320692301E-1,3.620033026E0
9.194076960E-1,6.763619781E-1,3.663128614E-1,4.985925198E0
9.294035460E-1,7.960720658E-1,-3.950432688E-2,6.884527206E0
9.393649710E-1,1.237802267E0,-4.525041282E-1,8.925583839E0
9.496451840E-1,1.161187768E0,-1.013944387E0,9.825803757E0
9.594527900E-1,9.624691010E-1,-1.037886381E0,9.928754807E0
9.694070930E-1,5.602431893E-1,-1.289277673E0,1.118810463E1
9.793782450E-1,7.888894677E-1,-1.320402265E0,1.167652130E1
9.893538210E-1,7.864952683E-1,-1.453280449E0,1.211944866E1
9.993466090E-1,8.164227605E-1,-1.642422318E0,1.291552067E1
1.009360003E0,9.265560508E-1,-1.717839718E0,1.364455509E1
1.019343700E0,9.672574997E-1,-1.517923832E0,1.434366226E1
1.029343048E0,9.768342972E-1,-1.268926859E0,1.508945656E1
1.039386722E0,1.022324085E0,-1.012747288E0,1.581968784E1
1.049368059E0,1.094150186E0,-6.655880809E-1,1.701319695E1
1.059325228E0,9.121908545E-1,-5.147533417E-1,1.836232948E1
1.069379812E0,6.212953329E-1,-5.566518903E-1,1.946605682E1
1.079328604E0,4.118026793E-1,-5.099649429E-1,1.976293755E1
1.089335000E0,2.346317619E-1,-8.259996027E-2,1.868794060E1
1.099374198E0,3.627215624E-1,3.184288144E-1,1.731606293E1
1.109427297E0,6.548141837E-1,8.271966577E-1,1.570356941E1
1.119479847E0,9.038111567E-1,1.340752959E0,1.403600788E1
1.129416122E0,1.064222693E0,1.909375906E0,1.258152962E1
1.139374759E0,1.069011092E0,2.426523447E0,1.138802052E1
1.149391078E0,9.026140571E-1,2.765302896E0,1.056920338E1
1.159365737E0,6.907271743E-1,3.132812977E0,1.044829655E1
1.169335567E0,5.734112859E-1,3.587711334E0,1.079306126E1
1.179318982E0,5.434837937E-1,4.009090900E0,1.134013653E1
1.189377689E0,5.817909837E-1,4.339490414E0,1.197340298E1
1.199323543E0,5.243301988E-1,4.630385876E0,1.249892998E1
1.209321470E0,4.967968464E-1,4.885368347E0,1.267490387E1
1.219307433E0,7.422025204E-1,5.183446884E0,1.232415295E1
1.229309415E0,1.182735682E0,5.585672379E0,1.193270111E1
1.239289406E0,1.686715126E0,6.069301128E0,1.158913326E1
1.249289901E0,2.154781580E0,6.509834290E0,1.138562584E1
1.259289649E0,2.297236443E0,6.722918510E0,1.116057110E1
1.269288523E0,2.094926596E0,6.393715858E0,1.084094524E1
1.279343960E0,1.859097600E0,6.090848923E0,1.055244446E1
1.289483678E0,1.620874524E0,5.673060894E0,1.015859795E1
1.299474537E0,1.405396342E0,5.208585739E0,9.655815125E0
1.309410967E0,1.359906554E0,4.995501995E0,9.209297180E0
1.319358182E0,1.406593442E0,4.781220913E0,8.541314125E0
1.329409289E0,1.395819545E0,4.553771496E0,7.560888767E0
1.339351343E0,1.397016644E0,4.453215122E0,6.600813866E0
1.349343370E0,1.399410844E0,4.411316395E0,5.719748020E0
1.359357883E0,1.388636947E0,4.292803764E0,4.875791550E0
1.369352140E0,1.322796464E0,4.132391930E0,4.156333923E0
1.379340268E0,1.149216771E0,3.813963413E0,3.541024208E0
1.389321832E0,9.205705523E-1,3.363853455E0,3.002328873E0
1.399323614E0,7.960720658E-1,3.010708570E0,2.612074137E0
1.409333005E0,8.331822157E-1,2.864662409E0,2.627636433E0
1.419306701E0,1.005564690E0,2.735375404E0,2.764105797E0
1.429358049E0,1.148019671E0,2.680308819E0,4.028244495E0
1.439338223E0,1.006761789E0,2.313995838E0,4.574122429E0
1.449349310E0,8.667010069E-1,1.748964310E0,4.623203278E0
1.459746353E0,6.955155730E-1,1.203086376E0,4.541800499E0
1.469762375E0,6.859387755E-1,9.133879542E-1,4.474762917E0
1.479566386E0,7.266402245E-1,6.871358752E-1,4.466383457E0
1.489471391E0,6.703764796E-1,3.806780577E-1,4.695029736E0
1.499781394E0,6.787561774E-1,1.221042871E-1,5.134365559E0
1.509570895E0,6.691793799E-1,-1.304839998E-1,5.857414246E0
1.519436646E0,6.560112834E-1,-3.687070608E-1,6.646304131E0
1.529364521E0,6.895300746E-1,-6.739677787E-1,7.032967567E0
