"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.672229167E-2,1.118314638E0,2.640826537E0,2.919917064E0,4.092738458E0
4.674129168E-2,3.354368987E0,1.072356547E0,-5.220930909E0,6.297607436E0
5.676029169E-2,4.055921430E0,-5.400850904E-1,-6.493021910E0,7.674732834E0
6.677929166E-2,9.415191029E-1,1.625905436E0,-4.794997501E-1,1.939058204E0
7.679929168E-2,-1.988614801E0,8.199784398E-1,4.017841730E0,4.557412164E0
8.681829169E-2,-3.265537502E0,-2.366278712E0,3.246602172E0,5.177203471E0
9.683729167E-2,-2.361836290E0,-3.118451670E0,1.027406076E0,4.044573491E0
1.068562917E-1,-1.386142404E0,3.982345623E-1,2.166147816E0,2.602340849E0
1.168762917E-1,1.634718359E0,2.578511006E0,1.046390816E0,3.227376157E0
1.268952917E-1,3.530168450E0,5.587768847E-1,-6.125360684E0,7.091851973E0
1.369142917E-1,3.862893731E0,-6.309057981E-1,-5.983472149E0,7.149960075E0
1.469332917E-1,6.226508452E-1,2.562846315E0,4.350001001E-1,2.673032060E0
1.569522917E-1,-2.368403006E0,-3.858285248E-2,4.942295880E0,5.480612192E0
1.669722917E-1,-3.299087072E0,-2.690874025E0,2.059874672E0,4.729467432E0
1.769912917E-1,-2.476682037E0,-3.011928264E0,1.469045105E0,4.166984438E0
1.870102917E-1,-8.238342400E-1,1.268005552E0,2.883380152E0,3.255828932E0
1.970292917E-1,2.116881662E0,2.239818640E0,-5.623103571E-1,3.132757324E0
2.070482917E-1,3.872068305E0,4.479481745E-1,-6.482213917E0,7.563905591E0
2.170682917E-1,3.643453575E0,-1.946824604E-1,-5.449615513E0,6.558274503E0
2.270872917E-1,-2.927173166E-1,2.398065931E0,1.143038274E0,2.672627945E0
2.371061667E-1,-2.606215113E0,-7.101852715E-1,5.283120725E0,5.933640108E0
2.471251667E-1,-3.221184325E0,-2.828649044E0,1.905816911E0,4.691420038E0
2.571451667E-1,-2.444617953E0,-2.773527927E0,1.330476619E0,3.929221568E0
2.671641667E-1,-2.779482914E-1,1.988836264E0,3.753324219E0,4.256779021E0
2.771831667E-1,2.432277697E0,1.945897236E0,-2.475753207E0,3.978925080E0
2.872021667E-1,4.105862206E0,2.832350332E-1,-6.995480168E0,8.116345811E0
2.972211667E-1,3.217470174E0,3.937310368E-1,-3.827769799E0,5.015870820E0
3.072411667E-1,-8.471058659E-1,1.933573644E0,1.364274695E0,2.513471867E0
3.172601667E-1,-2.863177437E0,-1.205350297E0,5.614050912E0,6.416246723E0
3.272791667E-1,-3.177980711E0,-2.995370119E0,1.800845357E0,4.723859391E0
3.372981667E-1,-2.422692649E0,-2.393864706E0,1.213767364E0,3.615696215E0
3.473171667E-1,3.738876699E-1,2.618153374E0,3.778398249E0,4.612029099E0
3.573371667E-1,2.701007835E0,1.516447313E0,-3.675738684E0,4.806881593E0
3.673561667E-1,4.326378835E0,1.702171254E-1,-6.903374827E0,8.148810447E0
3.773751667E-1,2.593597407E0,8.091014493E-1,-2.773177679E0,3.882255414E0
3.873941667E-1,-1.223885386E0,1.589569668E0,1.906494019E0,2.767552459E0
3.974141667E-1,-3.188099902E0,-1.591539595E0,5.241494397E0,6.337999904E0
4.074331667E-1,-3.004518088E0,-3.172734296E0,1.932055707E0,4.777678423E0
4.174521667E-1,-2.156658808E0,-1.784452688E0,1.094199990E0,3.005448757E0
4.274711667E-1,9.262200093E-1,3.013776569E0,3.870004238E0,4.991759762E0
4.374901667E-1,2.933598964E0,1.201918566E0,-5.098475010E0,6.003753705E0
4.475101667E-1,4.341222869E0,-8.326785922E-2,-7.003841686E0,8.240567207E0
4.575291667E-1,1.909913178E0,1.255411819E0,-1.282048810E0,2.620587021E0
4.675481667E-1,-1.554985142E0,1.195372608E0,2.597990420E0,3.255218685E0
4.775671667E-1,-3.409244814E0,-1.954406104E0,4.746190792E0,6.161897472E0
4.875861667E-1,-2.799797128E0,-3.248334702E0,1.746988993E0,4.630606098E0
4.976061667E-1,-1.853134376E0,-8.689646584E-1,9.262702954E-1,2.246593700E0
5.076251667E-1,1.451627565E0,3.015842391E0,3.076748743E0,4.546307374E0
5.176441667E-1,3.299755701E0,9.689578933E-1,-5.546275835E0,6.525982127E0
5.276631667E-1,4.255262074E0,-2.057553327E-1,-6.929474459E0,8.134322765E0
5.376831667E-1,1.068398712E0,1.642160695E0,-1.420113266E-1,1.964264436E0
5.477021667E-1,-1.983023108E0,5.709899640E-1,3.444517558E0,4.015359435E0
5.577211667E-1,-3.441507119E0,-2.270388469E0,3.664397424E0,5.516016999E0
5.677401667E-1,-2.587538230E0,-3.160143487E0,2.274133025E0,4.674777210E0
5.777591667E-1,-1.255087883E0,1.584975511E-1,6.873483860E-1,1.439727360E0
5.877791667E-1,1.711472566E0,2.706566783E0,1.750755769E0,3.649628455E0
5.977981667E-1,3.633886946E0,8.517136180E-1,-6.206546935E0,7.242359786E0
6.078171667E-1,4.041327949E0,-2.290032774E-1,-6.061084582E0,7.288451166E0
6.178361667E-1,3.050816561E-1,1.895384309E0,4.728502965E-1,1.977155507E0
6.278561667E-1,-2.445529388E0,-1.059380990E-1,4.410485770E0,5.044226560E0
6.378751667E-1,-3.389143841E0,-2.511982555E0,2.950512035E0,5.147997047E0
6.478941667E-1,-2.448384437E0,-3.081972646E0,1.663245170E0,4.273116689E0
6.579131667E-1,-5.277723160E-1,1.288669612E0,1.743329805E0,2.231235486E0
6.679321667E-1,1.993340813E0,2.249557178E0,2.544942597E-2,3.005754941E0
6.779521667E-1,3.899137113E0,6.533526742E-1,-6.648114628E0,7.734828249E0
6.879711667E-1,3.604170811E0,-8.233171999E-2,-5.537485131E0,6.607614344E0
6.979901667E-1,-3.798320590E-1,2.011813483E0,1.361634092E0,2.458803222E0
7.080091667E-1,-2.777732660E0,-7.713144028E-1,5.355896341E0,6.082462515E0
7.180291667E-1,-3.206363680E0,-2.716289533E0,2.094670283E0,4.695385018E0
7.280481667E-1,-2.387987670E0,-2.826418916E0,1.481665735E0,3.985782527E0
7.380671667E-1,1.135764996E-1,2.234861371E0,2.428892452E0,3.302578312E0
7.480861667E-1,2.323823541E0,1.755876176E0,-1.828783354E0,3.439143142E0
7.581051667E-1,4.155555646E0,3.585992110E-1,-6.636594443E0,7.838470637E0
7.681251667E-1,3.015411451E0,3.667052060E-1,-4.222336403E0,5.201471294E0
7.781441667E-1,-1.021310208E0,1.774831095E0,1.821470826E0,2.740594082E0
7.881631667E-1,-3.041515176E0,-1.292235244E0,5.493406481E0,6.410787881E0
7.981821667E-1,-2.998116556E0,-2.897841486E0,1.759456426E0,4.525690564E0
8.082011667E-1,-2.219429692E0,-2.279566843E0,1.282971500E0,3.430496905E0
8.182211667E-1,6.333144124E-1,2.851878862E0,3.386744728E0,4.472621160E0
8.282401667E-1,2.749950491E0,1.338666229E0,-4.054566922E0,5.078756531E0
8.382591667E-1,4.286979711E0,1.261074847E-1,-6.776083281E0,8.019314358E0
8.482781667E-1,2.247583012E0,9.088531941E-1,-2.543730597E0,3.514001832E0
8.582981667E-1,-1.429689835E0,1.386357874E0,2.716787131E0,3.368520965E0
8.683171667E-1,-3.252529787E0,-1.721530800E0,4.956453159E0,6.173252484E0
8.783361667E-1,-2.841643311E0,-3.113513696E0,1.712333715E0,4.549834172E0
8.883551667E-1,-1.957039690E0,-1.489615610E0,1.140230441E0,2.710919488E0
8.983751667E-1,1.071160060E0,3.080180474E0,3.090384450E0,4.492813336E0
9.083941667E-1,3.149367068E0,1.069831719E0,-4.944488586E0,5.959112368E0
9.184131667E-1,4.307124246E0,-1.108579463E-1,-6.725280333E0,7.987052291E0
9.284321667E-1,1.581053199E0,1.403559213E0,-1.431857983E0,2.553414374E0
9.384511667E-1,-1.890704052E0,9.005951715E-1,3.686316297E0,4.239665236E0
9.484711667E-1,-3.381942702E0,-2.084056417E0,4.128840594E0,5.729585696E0
9.584901667E-1,-2.715142894E0,-3.230534023E0,1.656393403E0,4.533430281E0
9.685091667E-1,-1.461787102E0,-4.461144876E-1,9.984354615E-1,1.825571976E0
9.785281667E-1,1.413324648E0,2.935875285E0,2.782703962E0,4.284891083E0
9.885481667E-1,3.522879311E0,8.839025402E-1,-6.071149979E0,7.074660727E0
9.985671667E-1,4.133142391E0,-2.385658139E-1,-6.518906364E0,7.722429660E0
1.008586167E0,8.004111712E-1,1.825492541E0,-9.722633243E-2,1.995628728E0
1.018605167E0,-2.295026735E0,2.331115311E-1,4.144108844E0,4.742902783E0
1.028624167E0,-3.321766375E0,-2.285518139E0,3.343701035E0,5.238135319E0
1.038644167E0,-2.579571398E0,-3.250405785E0,1.742485467E0,4.500620176E0
1.048663167E0,-9.287160395E-1,7.151934117E-1,1.468738711E0,1.879151005E0
1.058682167E0,1.810163480E0,2.531716323E0,7.474296963E-1,3.200770301E0
1.068701167E0,3.761275555E0,6.809076780E-1,-6.190256592E0,7.275307948E0
1.078721167E0,3.878828271E0,-1.787090367E-1,-6.233344724E0,7.343829527E0
1.088740167E0,8.342551477E-3,2.017229759E0,1.248495147E0,2.372346018E0
1.098759167E0,-2.524710774E0,-4.654939145E-1,4.899967886E0,5.531774974E0
1.108778167E0,-3.351834219E0,-2.523341357E0,2.304626255E0,4.786788737E0
1.118798167E0,-2.460316266E0,-3.026718796E0,1.465684125E0,4.166822861E0
1.128817167E0,-2.747295636E-1,1.759596759E0,2.201864948E0,2.831936853E0
1.138836167E0,2.196102956E0,2.000174015E0,-8.987299097E-1,3.103430317E0
1.148855167E0,3.972621118E0,5.436261642E-1,-6.655588539E0,7.770077654E0
1.158874167E0,3.448981614E0,4.518962145E-2,-4.693771673E0,5.824861269E0
1.168894167E0,-7.502452768E-1,1.985913826E0,1.364584597E0,2.523650693E0
1.178913167E0,-2.878341022E0,-1.034017523E0,5.353113066E0,6.165213603E0
1.188932167E0,-3.159442698E0,-2.784677982E0,2.112144102E0,4.711439518E0
1.198951167E0,-2.244020888E0,-2.601860107E0,1.104282929E0,3.608981373E0
1.208971167E0,2.355777405E-1,2.554165539E0,3.046896368E0,3.982817589E0
1.218990167E0,2.688471697E0,1.560830019E0,-2.891099646E0,4.245294757E0
1.229009167E0,4.117063133E0,2.607027876E-1,-6.617024982E0,7.797640309E0
1.239031292E0,2.801853009E0,5.707326865E-1,-3.701623138E0,4.677406326E0
1.249050292E0,-1.358673501E0,1.721241363E0,2.690556521E0,3.470988319E0
1.259070292E0,-3.067128904E0,-1.575732817E0,4.911910239E0,6.001422817E0
1.269089292E0,-3.039634419E0,-3.049444000E0,1.765276744E0,4.653459798E0
1.279108292E0,-1.999318860E0,-1.890788398E0,1.164795763E0,2.988160946E0
1.289127292E0,7.003186798E-1,2.962078412E0,3.598611571E0,4.713211221E0
1.299147292E0,3.081647833E0,1.223415855E0,-4.618436147E0,5.685354181E0
1.309166292E0,4.263875608E0,-2.582656682E-2,-6.625772417E0,7.879223460E0
1.319185292E0,2.008461566E0,1.141612723E0,-2.155029920E0,3.159327686E0
1.329204292E0,-1.726975289E0,1.237856723E0,2.858944638E0,3.562063638E0
1.339224292E0,-3.215037147E0,-1.919708142E0,4.934350684E0,6.194316740E0
1.349243292E0,-2.833812135E0,-3.184756756E0,1.612508880E0,4.557779251E0
1.359262292E0,-1.817849645E0,-1.095029125E0,1.041763330E0,2.364093262E0
1.369281292E0,1.210919624E0,3.057575723E0,3.202529368E0,4.590347481E0
1.379300292E0,3.358472563E0,1.075360261E0,-5.648009201E0,6.658509262E0
1.389320292E0,4.260418149E0,-2.842068404E-1,-6.567358732E0,7.833398819E0
1.399339292E0,1.280574288E0,1.655621570E0,-9.342646086E-1,2.292117722E0
1.409358292E0,-2.076750759E0,6.440158403E-1,3.850931790E0,4.422366535E0
1.419377292E0,-3.391585638E0,-2.179400530E0,3.697724215E0,5.470448261E0
1.429397292E0,-2.643953628E0,-3.296087158E0,1.827592860E0,4.603778557E0
1.439416292E0,-1.296468774E0,-3.626384676E-2,1.281057122E0,1.822979347E0
1.449435292E0,1.582663814E0,2.833034456E0,1.908301978E0,3.764641472E0
1.459454292E0,3.586506957E0,8.776021653E-1,-6.069566553E0,7.104425089E0
1.469474292E0,4.117677383E0,-3.307904381E-1,-6.743558729E0,7.908240871E0
1.479493292E0,4.822045259E-1,1.984308180E0,6.286891186E-1,2.136644605E0
1.489512292E0,-2.369201297E0,-2.017347872E-2,4.402213129E0,4.999300170E0
1.499531292E0,-3.354747010E0,-2.435210368E0,3.241315119E0,5.262195430E0
1.509550292E0,-2.503114376E0,-3.218362459E0,1.054133699E0,4.211251162E0
1.519570292E0,-7.952714686E-1,1.105138961E0,2.125616087E0,2.524288530E0
1.529589292E0,2.083839485E0,2.395044090E0,2.807704318E-1,3.187076282E0
1.539608292E0,3.756746010E0,6.386796713E-1,-6.434202429E0,7.477968521E0
1.549627292E0,3.796527541E0,-9.281051517E-2,-5.912099866E0,7.026746045E0
1.559647292E0,-2.953941902E-1,2.028139493E0,1.199472091E0,2.374729633E0
1.569666292E0,-2.713255413E0,-6.328535056E-1,5.248459600E0,5.942102883E0
