"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.050109300E-2,0.000000000E0,0.000000000E0,-0.000000000E0,0.000000000E0
6.005309500E-2,0.000000000E0,0.000000000E0,-0.000000000E0,0.000000000E0
7.012389600E-2,0.000000000E0,0.000000000E0,-0.000000000E0,0.000000000E0
8.022521500E-2,0.000000000E0,0.000000000E0,-0.000000000E0,0.000000000E0
9.026549800E-2,0.000000000E0,0.000000000E0,-0.000000000E0,0.000000000E0
1.003668160E-1,3.244094849E-1,-6.476287842E-1,-6.643676758E-2,7.273777561E-1
1.104376170E-1,-7.936757803E-1,2.223419189E0,-9.177684784E-2,2.362612352E0
1.204779000E-1,-3.874092102E-1,1.665767670E0,-5.357742310E-2,1.711063519E0
1.305487010E-1,1.376924038E0,1.128265738E0,4.631662369E-1,1.839409238E0
1.406195020E-1,1.014972329E-1,-1.085449338E0,2.324934006E-1,1.114699572E0
1.507208200E-1,-6.181833744E-1,-9.225490093E-1,-2.606992722E-1,1.140706566E0
1.607611030E-1,1.314494908E-1,5.356053114E-1,1.760864258E-2,5.517808283E-1
1.708319040E-1,1.918652952E-1,1.251985431E0,4.133033752E-2,1.267275821E0
1.809027050E-1,1.056271493E-1,2.446139336E0,1.970100403E-2,2.448498085E0
1.909124700E-1,3.925664425E-1,8.209081888E-1,3.372640610E-1,9.704358367E-1
2.022344920E-1,3.065708280E-1,-2.914115429E0,2.461795807E-1,2.940520157E0
2.111151070E-1,-2.336362898E-1,-1.579941034E0,7.119178772E-3,1.597138150E0
2.211859080E-1,2.352859378E-1,2.151458502E0,-6.717872620E-2,2.165328183E0
2.312872260E-1,-2.134392858E-1,2.531054020E0,1.312084198E-1,2.543424155E0
2.413275100E-1,4.202917814E-1,1.133832574E0,1.702299118E-1,1.221146883E0
2.513983100E-1,3.270146847E-1,-2.461184978E0,2.015781403E-1,2.490984514E0
2.614691110E-1,-4.111868441E-1,-1.145086586E-1,-1.459293365E-1,4.510900408E-1
2.715399120E-1,1.116949916E-1,6.953014135E-1,1.308689117E-1,7.162726428E-1
