"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.322926500E-2,5.533576012E-3,-5.086183548E-3,-7.895660400E-2
7.612426500E-2,3.416538239E-4,-2.129673958E-4,-4.071235657E-3
8.760926500E-2,-7.176101208E-3,3.059178591E-3,7.870197296E-2
9.827126500E-2,1.258807778E-1,-1.285285652E-1,-5.464935303E-2
1.086287650E-1,2.967186570E-1,-1.733607054E-2,-2.250795364E-1
1.188390150E-1,3.970308304E-1,1.102073193E-1,-1.598672867E-1
1.289776400E-1,3.853556514E-1,1.385890841E-1,-1.798896790E-1
1.390014520E-1,4.647612572E-3,-2.915292978E-3,-6.673812866E-2
1.490138580E-1,-1.623718143E-1,-1.362197399E-1,-8.578109741E-2
1.591115610E-1,-2.388562560E-1,-2.039380819E-1,-5.208778381E-2
1.694579130E-1,-1.651254296E-1,-1.627936661E-1,-6.628704071E-2
1.797870890E-1,1.134037971E-2,-6.704151630E-3,-1.559972763E-1
1.997597210E-1,1.144636869E-1,1.909695268E-1,-1.729907990E-1
2.195508790E-1,9.009361267E-3,-4.773408175E-3,-1.063804626E-1
2.392896680E-1,-1.017680168E-1,-2.392199636E-2,-1.041917801E-1
2.496594660E-1,2.733850479E-2,4.000407457E-2,1.493520737E-1
2.694663150E-1,5.312716961E-2,5.572205782E-2,-1.921863556E-1
2.892810270E-1,-6.469899416E-2,-5.103588104E-2,-1.098279953E-1
2.993296460E-1,1.164323092E-2,-5.988866091E-3,-1.265821457E-1
3.192883600E-1,2.547502518E-4,-1.567900181E-4,-3.211975098E-3
3.396235380E-1,6.534272432E-2,-5.164834857E-2,-8.176517487E-2
3.596438330E-1,6.950086355E-2,-1.310646534E-3,-1.821079254E-1
3.791614070E-1,-5.384212732E-2,-6.327003241E-3,-7.302761078E-2
3.990750500E-1,-1.152021885E-1,-6.271830201E-2,-1.168155670E-1
4.091421570E-1,-9.198105335E-2,-6.403890252E-2,-1.119136810E-2
4.191427110E-1,-4.672938585E-2,-6.600952148E-2,-6.845474243E-2
4.391388760E-1,1.687830687E-2,-6.512326002E-2,-5.104732513E-2
4.590596670E-1,-3.625106812E-2,6.650108099E-2,-4.403781891E-2
4.793771150E-1,-4.690247774E-1,4.535427690E-1,-6.431961060E-2
4.991887270E-1,-3.562394381E-1,4.385038018E-1,-2.817087173E-1
5.190863800E-1,6.480216980E-4,6.229048967E-1,6.235790253E-2
5.292798220E-1,1.036522985E-1,5.901228189E-1,-3.893280029E-1
5.491136540E-1,-5.921649933E-2,4.774874747E-1,2.410964966E-1
