"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.849389100E-2,-3.493010998E-3,-8.141694590E-3,-4.448795319E-2
4.134764100E-2,-8.281424642E-3,-6.944593973E-3,-1.713800430E-1
5.284001600E-2,4.886686802E-3,2.380111255E-4,-3.282003403E-1
6.356420300E-2,-7.084324956E-3,-4.550392274E-3,-3.808727264E-1
7.461629700E-2,-1.187272370E-2,-9.338795207E-3,-1.318759918E-1
9.437486700E-2,-4.031446576E-2,-9.275951423E-3,6.676292419E-2
1.046941290E-1,-4.257573187E-2,-2.136116847E-2,-8.775806427E-2
1.150792600E-1,-4.414852709E-2,-1.452566497E-2,-3.548212051E-1
1.343853580E-1,-7.033024728E-2,-2.668800298E-3,1.007175446E-2
1.541978820E-1,-8.218715340E-2,8.552934974E-3,1.706218719E-2
1.741867630E-1,-9.175987542E-2,1.583077200E-2,-4.894638062E-1
1.941052340E-1,-1.342927814E-1,2.095212042E-2,8.624458313E-2
2.041328120E-1,-1.403528154E-1,1.843014173E-2,2.262754440E-1
2.240802460E-1,-1.545742303E-1,2.452806383E-2,-2.262496948E-1
2.340813180E-1,-1.735090017E-1,2.281046659E-2,-2.370157242E-1
2.443728540E-1,-1.808120608E-1,2.387049235E-2,-1.783399582E-1
2.641980060E-1,-4.661679268E-4,7.503107190E-5,-1.036262512E-2
2.742156980E-1,-1.392373443E-2,9.529029950E-3,4.692459106E-2
2.940249670E-1,-5.639135838E-3,1.234817505E-2,-3.109884262E-1
3.139482850E-1,-1.017509401E-2,1.524866372E-2,-2.130680084E-1
3.239523380E-1,-1.585489511E-2,1.918707043E-2,5.977249146E-2
3.439853770E-1,-2.509304881E-2,3.485108539E-2,-8.043479919E-2
3.639908870E-1,-3.644151241E-2,3.189157695E-2,-1.763095856E-1
3.839480150E-1,-4.520566761E-2,3.091172874E-2,-5.068302155E-2
3.939482030E-1,-4.414000362E-2,4.021083191E-2,-1.464710236E-1
4.139223440E-1,-5.871158838E-2,3.640806302E-2,-2.147073746E-1
4.239438670E-1,-5.623834580E-2,3.482614458E-2,-1.177253723E-1
4.439312600E-1,-5.977492034E-2,4.900873452E-2,-1.112461090E-2
4.639036080E-1,-3.089514375E-2,3.991758078E-2,-2.444629669E-1
4.839044450E-1,-1.188306510E-2,3.889817372E-2,-1.222257614E-1
4.939194180E-1,-5.595207214E-3,4.517820850E-2,3.109264374E-2
5.041789040E-1,3.917247057E-3,4.302082583E-2,4.795742035E-2
5.241677690E-1,2.139724791E-2,3.907674178E-2,-3.097286224E-1
5.439809850E-1,1.658456028E-2,2.898049355E-2,3.415584564E-2
5.639692890E-1,3.295327723E-2,2.973704413E-2,-1.043214798E-1
5.740208400E-1,4.658928514E-2,1.783068478E-2,-2.369852066E-1
5.939325030E-1,7.782803476E-2,1.717726886E-2,-2.029714584E-1
6.138839190E-1,8.528406918E-2,1.580929756E-2,-1.314163208E-3
6.245421550E-1,1.074876636E-1,1.046675071E-2,-3.812026978E-2
6.442265820E-1,1.311452091E-1,1.089449599E-2,-1.909198761E-1
6.542549860E-1,1.330293715E-1,7.702723145E-3,-1.907253265E-1
6.740642890E-1,1.552681178E-1,3.013860434E-3,-1.353902817E-1
6.840683400E-1,1.489573121E-1,-4.401486367E-3,-1.101169586E-1
7.039551280E-1,1.488794535E-1,-2.081880718E-2,-1.781005859E-1
7.240995750E-1,1.505813152E-1,-2.985849045E-2,-1.719160080E-1
7.341799830E-1,1.507181972E-1,-2.662463859E-2,-1.036052704E-1
7.540245390E-1,1.722099185E-1,-2.891082317E-2,-2.027349472E-1
7.739209280E-1,1.779430807E-1,-3.455879539E-2,-1.654758453E-1
7.839971590E-1,1.770018339E-1,-3.324453160E-2,-9.244823456E-2
7.940347750E-1,1.868773103E-1,-3.641051799E-2,-8.649635315E-2
8.139607370E-1,1.837733388E-1,-2.909231186E-2,-1.931495667E-1
8.339649770E-1,1.730582714E-1,-3.324373439E-2,-2.280263901E-1
8.440146840E-1,1.707833707E-1,-5.231056362E-2,-1.623029709E-1
8.640352140E-1,1.518009156E-1,-4.518204927E-2,-5.124282837E-2
8.741423020E-1,1.438894421E-1,-5.401787534E-2,-1.531724930E-1
8.841683460E-1,1.401591450E-1,-5.457338691E-2,-2.120208740E-1
9.040723790E-1,1.288796961E-1,-3.379100561E-2,-1.023015976E-1
9.239848880E-1,1.108672470E-1,-3.311824799E-2,-1.290855408E-1
9.443935150E-1,1.007880569E-1,-2.260962874E-2,-2.169370651E-1
9.640419220E-1,8.863048255E-2,-1.673594490E-2,-1.312007904E-1
9.839267730E-1,6.450927258E-2,-2.691820264E-2,-1.041145325E-1
9.940885820E-1,5.933022499E-2,-2.040779404E-2,-1.438350677E-1
1.013955188E0,2.531696856E-2,-1.329823025E-2,-2.100906372E-1
1.034283590E0,-7.369115949E-3,-2.631281316E-2,-5.006599426E-2
1.054116440E0,-3.696481884E-2,-6.348030642E-3,-1.066751480E-1
1.064330915E0,-3.325609863E-2,-1.287266891E-2,-1.594953537E-1
1.074682653E0,-5.155677348E-2,-1.192615181E-2,-1.620168686E-1
