"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.670468400E-2,-1.631671190E-2,-3.038817644E-2,-1.254739761E-1
4.957143400E-2,1.639783382E-3,-4.606842995E-4,-1.414394379E-2
6.132230900E-2,1.046484709E-2,-6.775498390E-3,-1.178169250E-1
7.180574600E-2,8.507311344E-3,-6.179094315E-3,-1.080312729E-1
8.221396500E-2,5.201756954E-3,-3.996729851E-3,-6.989097595E-2
9.228357400E-2,5.619156361E-2,-3.906178474E-2,-1.413068771E-1
1.023473790E-1,8.728981018E-3,-7.327973843E-3,-1.314058304E-1
1.123747810E-1,9.056150913E-3,-6.381154060E-3,-1.206283569E-1
1.324383330E-1,1.176279783E-2,-5.693227053E-3,-1.321840286E-1
1.425502580E-1,8.529186249E-3,-9.764224291E-3,-1.225547791E-1
1.625092020E-1,1.379919052E-2,-1.028805971E-2,-1.976070404E-1
1.823444380E-1,3.945112228E-3,-2.322405577E-3,-4.823970795E-2
1.926658110E-1,1.373058558E-2,-6.499201059E-3,-1.485700607E-1
2.124378400E-1,2.618551254E-3,-1.399993896E-3,-3.072929382E-2
2.324565980E-1,8.307600021E-2,4.887425900E-2,5.602455139E-2
2.428473910E-1,1.046869755E-1,6.802096963E-2,-2.377214432E-1
2.624524850E-1,8.345603943E-2,6.798988581E-2,-2.303562164E-1
2.724533340E-1,1.309466362E-2,3.040996194E-2,-3.494262695E-3
2.922994710E-1,2.090251446E-2,-1.163020730E-2,-2.504777908E-1
3.023048270E-1,2.495777607E-2,-1.281523705E-2,-3.586769104E-2
3.223228440E-1,1.274812222E-1,5.775943398E-2,-6.419086456E-2
3.323680140E-1,1.403861642E-1,7.826691866E-2,-2.254800797E-1
3.424635990E-1,1.440039277E-1,7.355049253E-2,1.641559601E-2
3.624587870E-1,-2.927726507E-2,-8.638113737E-3,-1.804895401E-1
3.726229850E-1,-5.934607983E-2,-1.894539595E-2,9.098052979E-3
