"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.821979000E-3,-4.563891888E-2,1.030802727E-2,-2.590942383E-1
2.676707600E-2,-3.845632076E-2,-1.363396645E-2,-5.309104919E-3
4.033312500E-2,-2.543330193E-3,3.125429153E-3,5.694007874E-2
5.200864900E-2,-1.212012768E-2,3.185588121E-2,-2.351522446E-1
6.289191100E-2,-6.359547377E-2,5.220657587E-2,-1.992387772E-1
7.328954200E-2,-1.354215145E-1,1.336094141E-1,-9.269714355E-2
8.349485800E-2,-1.192182302E-1,1.310572028E-1,-2.528743744E-1
9.359151600E-2,5.895733833E-3,-5.521237850E-3,-8.743953705E-2
1.036388450E-1,3.970414400E-2,-2.985048294E-2,5.881309509E-2
1.136970090E-1,8.906900883E-3,-8.293926716E-3,-1.514625549E-1
1.237295910E-1,3.366196156E-2,-4.046595097E-2,-2.172641754E-1
1.438220280E-1,3.429234028E-3,-2.634376287E-3,-5.546283722E-2
1.637958870E-1,1.046079397E-2,-6.904363632E-3,-1.305894852E-1
1.738410300E-1,-4.977327585E-2,4.321807623E-2,3.433609009E-2
1.838511020E-1,2.441167831E-3,-1.795232296E-3,-2.769088745E-2
1.938626380E-1,1.272618771E-2,-9.099185467E-3,-1.498422623E-1
2.039889060E-1,3.948211670E-3,-2.961039543E-3,-4.471778870E-2
2.239388570E-1,8.565425873E-3,-5.477547646E-3,-1.125650406E-1
2.437708440E-1,2.059996128E-3,-1.421898603E-3,-2.941417694E-2
2.538305090E-1,2.693057060E-2,5.010795593E-2,-7.095050812E-2
2.638513410E-1,1.028329134E-2,5.513733625E-2,-1.314792633E-1
2.837967150E-1,-1.984691620E-2,-7.823905349E-2,-7.638454437E-2
3.038658090E-1,3.508865833E-2,-1.219483316E-1,-9.096908569E-2
3.138809910E-1,3.167557716E-2,-1.098020077E-1,-6.249523163E-2
3.338681280E-1,-6.671130657E-3,8.238106966E-3,-1.873941422E-1
3.537696620E-1,-2.012240887E-2,1.096206605E-1,-5.358219147E-2
3.638604180E-1,-2.724677324E-2,9.838294983E-2,-1.649866104E-1
3.837112350E-1,-2.372181416E-2,-4.588508606E-2,-1.703643799E-2
4.036879390E-1,2.170921564E-1,5.822503567E-2,-1.808643341E-1
4.237183650E-1,9.386980534E-2,1.125825644E-1,-1.520843506E-1
4.437784710E-1,-4.080319405E-2,1.616068184E-1,-1.480903625E-1
4.638012480E-1,-3.611279726E-1,-1.229245365E-1,-4.503536224E-2
4.837041920E-1,-3.819873929E-1,-1.632122695E-1,-7.211017609E-2
5.036991780E-1,-1.563802361E-1,4.956668615E-2,-1.768856049E-1
5.137346760E-1,-7.553303242E-2,9.808871150E-2,-6.654453278E-2
5.337177990E-1,8.673566580E-2,1.201091707E-1,-1.295566559E-1
5.437344860E-1,1.570498347E-1,9.715285897E-2,-1.414518356E-1
5.638330020E-1,1.775107086E-1,-9.284615517E-4,-2.255811691E-1
5.837956310E-1,1.706577837E-1,4.814359546E-2,-1.605014801E-1
5.938659020E-1,1.680306494E-1,8.505725861E-2,-1.095390320E-1
6.138741060E-1,1.404398680E-2,4.455190897E-2,-1.511831284E-1
6.338991570E-1,-1.407796144E-1,-1.535528898E-2,-1.125488281E-1
6.444566650E-1,-2.442656755E-1,-8.321064711E-2,-1.059331894E-1
6.545909190E-1,-3.125004768E-1,-1.119410694E-1,-1.974201202E-2
6.740661100E-1,-2.844480872E-1,-1.223094761E-1,-9.226226807E-2
6.938371580E-1,1.655912399E-2,2.570524812E-2,-7.548618317E-2
7.137531700E-1,2.570082843E-1,1.700173020E-1,-2.047967911E-1
7.338034230E-1,1.139327884E-1,2.177888155E-2,-2.142362595E-1
7.537282360E-1,-4.725971818E-1,-3.118146062E-1,4.456043243E-2
7.638192050E-1,-5.552900434E-1,-3.440987766E-1,-1.180505753E-1
7.738826890E-1,-3.847376704E-1,-2.651264668E-1,1.190938950E-1
7.938858020E-1,1.138858497E-1,7.941037416E-3,-8.736801147E-2
8.137238310E-1,3.023928702E-1,1.257538497E-1,-2.383852005E-1
8.237615020E-1,1.681652069E-1,8.779859543E-2,-1.182832718E-1
8.437252560E-1,-4.307961464E-1,-2.021410763E-1,-6.468582153E-2
8.637181940E-1,-1.770263314E-1,-5.358144641E-2,-2.013015747E-1
8.837436790E-1,3.655071557E-1,2.570223808E-1,-2.779159546E-1
9.038523000E-1,2.967254519E-1,2.750455737E-1,-1.855716705E-1
9.139087370E-1,-1.769661903E-4,1.197918952E-1,-7.011890411E-2
9.339230640E-1,-2.757368088E-1,-3.135582805E-2,-1.100969315E-1
9.439571190E-1,-2.152990103E-1,9.124189615E-3,-4.035758972E-2
9.539571460E-1,-5.860441923E-2,8.441323042E-2,-2.075204849E-1
9.641416600E-1,1.765782833E-1,2.011971772E-1,-1.747255325E-1
9.838652950E-1,3.829816878E-1,3.288398087E-1,-7.484912872E-2
1.003787704E0,1.199195981E-1,2.185928822E-1,4.633808136E-2
1.013861439E0,-9.827697277E-2,8.793532848E-2,-8.296298981E-2
1.033878240E0,-9.088349342E-2,6.241494417E-2,-2.843523026E-1
1.053777190E0,3.410454392E-1,2.938393354E-1,-2.510099411E-1
1.063930682E0,4.097430706E-1,3.266466856E-1,-1.397333145E-1
1.083891051E0,7.465386391E-2,1.377492845E-1,-2.546119690E-2
1.103766393E0,-2.459500432E-1,-6.176391244E-2,-5.295848846E-2
1.123765728E0,-7.892656326E-2,6.467401981E-3,-1.258487701E-1
1.143758312E0,2.179600596E-1,1.422370672E-1,-2.235116959E-1
1.163747208E0,1.945726573E-1,1.252084970E-1,-1.178340912E-1
1.173942191E0,3.886938095E-2,2.700737119E-2,1.080513000E-2
1.193898178E0,-2.806249261E-1,-1.682865620E-1,-7.669830322E-2
1.203909176E0,-3.181335926E-1,-2.027911842E-1,-1.837778091E-1
1.213956175E0,-6.891310215E-3,-5.459249020E-2,-1.854047775E-1
1.233977924E0,2.245669365E-1,6.417191029E-2,-9.138965607E-2
1.253810361E0,-5.624496937E-2,-9.490081668E-2,-2.847003937E-2
1.273946970E0,-3.265181780E-1,-2.396848351E-1,-1.058092117E-1
1.283981572E0,-2.971847653E-1,-2.406922430E-1,-1.850538254E-1
1.303788023E0,-3.542786837E-2,-8.596172929E-2,-1.346406937E-1
1.313857098E0,8.374017477E-2,-1.639550924E-2,-1.057662964E-1
1.333863155E0,9.179952741E-2,-9.613931179E-4,-3.136253357E-2
1.353788669E0,-1.772426367E-1,-1.319571137E-1,-9.603786469E-2
1.363946421E0,-2.873889804E-1,-1.854346693E-1,-1.462364197E-1
1.383873985E0,-1.815710664E-1,-1.238781512E-1,-1.538352966E-1
1.394030079E0,-1.165068150E-2,-6.566911936E-3,-1.353921890E-1
1.413925900E0,1.229982972E-1,1.092135608E-1,-5.538845062E-2
1.433768855E0,-1.397041678E-1,-3.224781156E-2,-1.384420395E-1
1.453693594E0,-1.867596507E-1,-4.079002142E-2,-1.760272980E-1
1.463750384E0,-7.652193308E-2,3.965359926E-2,-1.345615387E-1
1.483717976E0,1.626310349E-1,1.917502284E-1,-9.356021881E-2
1.503720374E0,1.706514359E-1,2.085593343E-1,-8.298778534E-2
1.513721774E0,8.499240875E-2,1.496333182E-1,-1.459636688E-1
1.533686074E0,-1.224473119E-1,4.353445768E-2,-1.954593658E-1
1.543756124E0,-1.289856434E-1,4.704922438E-2,-1.686410904E-1
1.553759149E0,-3.889375925E-2,1.000840366E-1,-1.463975906E-1
1.573755667E0,2.302649617E-1,2.560386062E-1,-7.358932495E-2
1.583843420E0,2.787034810E-1,2.779780030E-1,-9.843921661E-2
1.603826235E0,-2.150279284E-2,8.549931645E-2,-1.940994263E-1
1.623765439E0,-7.685512304E-2,4.493507743E-2,-1.618614197E-1
1.633990806E0,4.871189594E-3,9.448787570E-2,-1.162910461E-1
1.653927332E0,2.009099126E-1,1.823240817E-1,-9.722805023E-2
1.664048253E0,2.354949117E-1,2.042200863E-1,-1.238565445E-1
1.683826193E0,9.356522560E-2,8.156561852E-2,-1.812801361E-1
1.694612683E0,-2.445197105E-2,4.901915789E-3,-1.913328171E-1
1.714032551E0,-1.260577440E-1,-6.997263432E-2,-1.286830902E-1
1.733813768E0,4.922902584E-2,1.840904355E-2,-8.270931244E-2
1.753935572E0,1.661635041E-1,6.242841482E-2,-1.160945892E-1
1.773794273E0,4.654765129E-3,-5.930414796E-2,-1.820678711E-1
1.793720698E0,-1.713115573E-1,-1.588219702E-1,-9.809398651E-2
1.803771436E0,-1.014856100E-1,-1.262226999E-1,-6.613636017E-2
1.823728239E0,4.605996609E-2,-4.473847151E-2,-1.063938141E-1
1.833741706E0,7.196885347E-2,-5.284366012E-2,-1.331911087E-1
1.843827440E0,4.073250294E-2,-7.118457556E-2,-1.540060043E-1
1.863839490E0,-1.318021417E-1,-1.608551145E-1,-1.582593918E-1
1.873867332E0,-2.123575807E-1,-1.934622228E-1,-1.165199280E-1
1.893746713E0,-1.436386108E-1,-1.424175203E-1,-5.418872833E-2
1.913733058E0,3.842920065E-2,-2.783870697E-2,-9.862995148E-2
1.923768116E0,7.050102949E-2,-1.828816533E-2,-1.369924545E-1
1.933769645E0,3.115612268E-2,-2.702406049E-2,-1.836938858E-1
1.953829291E0,-1.397408247E-1,-9.548917413E-2,-1.378402710E-1
1.963916232E0,-1.570837498E-1,-7.654342055E-2,-6.678104401E-2
1.983824438E0,-1.204013824E-2,1.839044690E-2,-7.322597504E-2
2.003810240E0,9.856164455E-2,8.208960295E-2,-1.778507233E-1
2.023771190E0,9.037733078E-3,6.479021907E-2,-1.638765335E-1
2.043730428E0,-1.131011844E-1,1.412928104E-2,-9.669303894E-2
2.063888487E0,-2.997136116E-2,7.005995512E-2,-8.327674866E-2
2.083773502E0,1.372223496E-1,1.723557711E-1,-1.563730240E-1
2.103743006E0,1.354964972E-1,1.597307622E-1,-2.092285156E-1
2.123706132E0,2.159416676E-3,9.674173594E-2,-1.337337494E-1
2.143698663E0,-1.858127117E-2,9.536647797E-2,-9.301280975E-2
2.163809046E0,1.721360087E-1,1.781539321E-1,-2.023859024E-1
2.183723392E0,1.595830321E-1,1.461757123E-1,-2.032308578E-1
2.193807783E0,9.925717115E-2,1.236360967E-1,-1.563196182E-1
2.204077978E0,3.929358721E-2,8.954989910E-2,-1.297531128E-1
2.223809375E0,3.662586212E-3,4.990291595E-2,-1.056613922E-1
2.243824974E0,1.102236509E-1,8.033019304E-2,-1.837968826E-1
2.263748874E0,1.717234254E-1,9.311532974E-2,-2.061176300E-1
2.283697849E0,5.228632689E-2,1.451921463E-2,-1.433248520E-1
2.293812011E0,-1.170527935E-2,-3.666606545E-2,-1.005907059E-1
2.313828633E0,-3.695362806E-2,-6.693184376E-2,-1.051073074E-1
2.333749538E0,5.142939091E-2,-4.828080535E-2,-1.888198853E-1
2.344382856E0,8.230304718E-2,-3.758177161E-2,-1.906032562E-1
2.364225344E0,7.034003735E-3,-9.239763021E-2,-1.138744354E-1
2.383829216E0,-1.078202724E-1,-1.606807411E-1,-7.900333405E-2
2.403766184E0,-7.255667448E-2,-1.479238868E-1,-1.507730484E-1
2.423738426E0,3.013271093E-2,-9.555536509E-2,-1.733331680E-1
2.443713737E0,6.785392761E-4,-1.033648252E-1,-1.214113235E-1
2.453825455E0,-6.407868862E-2,-1.422652006E-1,-9.419345856E-2
2.473740994E0,-1.453446150E-1,-1.673483849E-1,-8.634567261E-2
2.493747879E0,-8.546596766E-2,-1.249236166E-1,-1.478176117E-1
2.513715350E0,1.378732920E-2,-6.244644523E-2,-1.659069061E-1
2.523739262E0,2.165079117E-2,-3.420749307E-2,-1.419000626E-1
2.543695446E0,-1.059308648E-1,-6.601750851E-2,-6.857872009E-2
2.563702742E0,-1.189495921E-1,-5.662775040E-2,-1.435213089E-1
2.573724458E0,-6.408405304E-2,-2.159699798E-2,-1.708202362E-1
2.593692745E0,5.456095934E-2,7.401353121E-2,-1.521968842E-1
2.613696316E0,4.352146387E-2,8.640205860E-2,-9.965515137E-2
2.623729745E0,-9.375810623E-3,6.842246652E-2,-8.355140686E-2
2.643694816E0,-4.776102304E-2,5.343729258E-2,-1.267757416E-1
2.653728995E0,-3.802978992E-2,6.342640519E-2,-1.585016251E-1
2.663859084E0,1.560533047E-2,9.123748541E-2,-1.877889633E-1
2.683733151E0,1.211871505E-1,1.602059305E-1,-1.624469757E-1
2.703760918E0,1.000570059E-1,1.588770151E-1,-9.766292572E-2
2.723681360E0,2.374309301E-2,1.096701324E-1,-1.348533630E-1
2.733694267E0,1.759672165E-2,9.227806330E-2,-1.822395325E-1
2.743761220E0,7.477563620E-2,1.129622459E-1,-1.949348450E-1
2.753834197E0,1.342082620E-1,1.324323416E-1,-1.861524582E-1
2.764173185E0,1.582114100E-1,1.597450972E-1,-1.534280777E-1
2.783861426E0,1.286244392E-1,1.343528628E-1,-1.157350540E-1
2.803756737E0,3.862458467E-2,5.791038275E-2,-1.491260529E-1
2.823804814E0,5.119669437E-2,3.055220842E-2,-2.006568909E-1
2.843796084E0,1.163642406E-1,4.873043299E-2,-1.565437317E-1
2.863811151E0,1.425341964E-1,4.249137640E-2,-1.104459763E-1
2.883778168E0,6.783407927E-2,-2.140551805E-2,-1.221151352E-1
2.893842671E0,2.207273245E-2,-6.479421258E-2,-1.549415588E-1
2.903884422E0,-1.069480181E-2,-9.367418289E-2,-1.853876114E-1
2.923761986E0,6.811231375E-2,-6.582516432E-2,-1.360998154E-1
2.943767877E0,7.301884890E-2,-7.542788982E-2,-1.001043320E-1
2.953820025E0,3.541809320E-2,-9.806454182E-2,-1.007146835E-1
2.973752886E0,-4.856252670E-2,-1.600079238E-1,-1.631469727E-1
2.983762530E0,-7.160270214E-2,-1.760176718E-1,-1.577987671E-1
3.003702763E0,-2.614605427E-2,-1.468757391E-1,-1.361131668E-1
3.023673571E0,-2.029253840E-1,-1.160171628E0,-9.992122650E-2
3.033708872E0,-1.151000977E0,-2.401885033E0,-2.484607697E-2
3.043725523E0,-2.384297848E-1,-2.045827150E0,3.594350815E-1
3.053728848E0,2.103548348E-1,-1.966183186E0,-4.650182724E-1
3.063759511E0,-5.275821686E-2,-1.963270664E0,-6.365585327E-2
3.083730258E0,-1.348602176E-1,-1.235426903E0,2.379474640E-1
3.103905695E0,-1.061332226E-1,-3.156803250E-1,2.263860703E-1
3.113925934E0,-1.454859376E-1,5.845695734E-1,2.788381577E-1
3.133773114E0,-2.124349475E-1,8.829135895E-1,-6.325931549E-1
3.143788144E0,3.027939498E-1,1.163467646E0,-1.182123184E0
3.163780416E0,6.919311285E-1,1.717330217E0,-1.851921082E-1
3.173909295E0,4.787547290E-1,1.520316958E0,-5.949783325E-1
3.193738454E0,-2.874082327E-2,1.455498815E0,-5.089502335E-1
3.203739814E0,-1.832206249E-1,1.432125568E0,4.453411102E-1
3.213751494E0,1.446509361E-2,1.381874561E0,-4.044933319E-1
3.223821834E0,6.913125515E-3,1.356786609E0,-1.258639336E0
3.243748339E0,2.164551020E-1,1.489629388E0,-6.269397736E-1
3.253759256E0,4.271319509E-1,1.474308968E0,-7.847776413E-1
3.273742694E0,4.922997653E-1,1.514780521E0,-4.536857605E-1
3.293713304E0,-9.444838762E-2,9.129081964E-1,-7.229862213E-1
3.303767739E0,-2.961341143E-1,6.213952303E-1,4.960994720E-1
3.323718315E0,3.154768050E-1,6.162112951E-1,-1.981639862E-1
3.333874244E0,4.210779965E-1,5.823071599E-1,3.974218369E-1
3.353753691E0,1.716710329E-1,1.391397119E-1,1.102113724E-1
3.363829432E0,2.182883024E-2,-9.827569127E-2,-4.035282135E-2
3.373855303E0,-1.331923008E-1,-3.141698837E-1,2.088499069E-1
3.393851706E0,-1.663500071E-1,-6.441608667E-1,-4.475736618E-1
3.413764057E0,-7.469111681E-2,-8.466176987E-1,1.414022446E-1
3.433698394E0,2.434709370E-1,-8.958611488E-1,-1.313838959E-1
3.444425284E0,2.209742665E-1,-1.013994455E0,-1.347351074E-2
3.463917951E0,-2.183870673E-1,-1.403366446E0,-2.311592102E-1
3.483767118E0,-4.251240492E-1,-1.618284941E0,-4.175491333E-1
3.493938646E0,-2.439188957E-2,-1.448556781E0,-5.376920700E-1
3.513746042E0,9.712252021E-2,-1.389898300E0,-2.328605652E-1
3.533834391E0,-1.170174479E-1,-1.428886890E0,-3.600330353E-1
3.543853782E0,-2.028755844E-1,-1.422282696E0,-3.088626862E-1
3.563765326E0,-2.912483215E-1,-1.320248604E0,-2.217531204E-1
3.573768750E0,-2.454776764E-1,-1.169559002E0,-2.082643509E-1
3.593705068E0,-3.804266453E-2,-8.359886408E-1,8.909893036E-2
3.613798147E0,1.548911333E-1,-4.726436138E-1,1.087770462E-1
3.633834167E0,-1.203277111E-1,-3.362710476E-1,1.645860672E-1
3.643895170E0,-2.643890381E-1,-2.715913653E-1,3.504753113E-3
3.653913672E0,-2.804508805E-1,-1.314001083E-1,4.364490509E-2
3.665503423E0,3.139042854E-2,3.311245441E-1,1.441850662E-1
3.684159486E0,2.041077614E-1,7.162919044E-1,9.534168243E-2
3.703829752E0,8.710420132E-2,8.884769678E-1,-2.829647064E-2
3.723805068E0,-5.769193172E-3,1.034268498E0,-8.026123047E-2
3.743843397E0,9.346067905E-3,1.172923803E0,-3.968667984E-1
3.763716479E0,1.851588488E-1,1.394840121E0,-5.178251266E-1
3.773719826E0,3.507666588E-1,1.514540195E0,-2.260522842E-1
3.783733000E0,3.997333348E-1,1.550691009E0,-3.545579910E-1
3.793869087E0,3.808463812E-1,1.545518875E0,-4.904479980E-1
3.813745652E0,5.590349436E-2,1.352770090E0,-4.212350845E-1
3.823789413E0,1.846975088E-2,1.319945693E0,-4.387845993E-1
3.843736733E0,2.207577825E-1,1.304816961E0,-2.891807556E-1
3.853742453E0,3.130426407E-1,1.285709500E0,-2.829656601E-1
