"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.262812500E-2,-6.744304299E-2,-5.200382695E-2,-1.990766525E-1
3.590337500E-2,-1.955902576E-2,-2.686470747E-2,-1.092939377E-1
4.703200000E-2,-4.053711891E-4,6.686113775E-4,-1.472282410E-2
5.760081200E-2,-5.193829536E-3,3.062814474E-3,-3.866481781E-2
6.815721800E-2,-5.971550941E-3,-4.603862762E-4,-1.121845245E-1
7.835042100E-2,-7.647097111E-3,-4.763305187E-4,-1.466283798E-1
9.823007400E-2,-5.139380693E-3,7.677562535E-4,-1.430130005E-1
1.179967370E-1,-3.871694207E-3,1.157663763E-3,-1.449127197E-1
1.280086810E-1,-2.726301551E-3,1.222454011E-3,-1.178703308E-1
1.480718890E-1,-5.215555429E-3,2.043478191E-3,-2.073602676E-1
1.679429410E-1,-5.826622248E-3,9.139925241E-4,-1.736841202E-1
1.781917830E-1,-4.556804895E-3,-1.233387738E-4,-9.877109528E-2
1.979639140E-1,-1.070946455E-2,-1.040406525E-3,-1.987333298E-1
2.178719470E-1,-1.119142771E-2,-1.452580094E-3,-1.995973587E-1
2.280937860E-1,-9.620070457E-3,-2.712635323E-4,-1.954517365E-1
2.479154150E-1,-7.025480270E-3,1.126397401E-3,-1.851596832E-1
2.579250200E-1,-6.994694471E-3,1.463018358E-3,-2.014255524E-1
2.679268220E-1,-7.164120674E-3,2.128593624E-3,-2.257480621E-1
2.878934240E-1,-9.093552828E-3,-1.128091663E-2,-1.848535538E-1
3.079353240E-1,6.781941652E-2,3.822121024E-2,-1.522150040E-1
3.278687990E-1,1.762970388E-1,1.034140885E-1,-2.055263519E-1
3.379532120E-1,2.206449211E-1,1.353919357E-1,-2.242708206E-1
3.480134180E-1,2.583840787E-1,1.582168937E-1,-2.069902420E-1
3.679505730E-1,2.351847589E-1,1.491146237E-1,-1.088819504E-1
3.779535990E-1,1.939882040E-1,1.345260888E-1,-1.563177109E-1
3.880101120E-1,1.489503086E-1,1.219908670E-1,-2.301816940E-1
4.078892460E-1,6.889498234E-2,8.497539908E-2,-1.325588226E-1
4.179349350E-1,4.567486048E-2,8.317644149E-2,-1.262273788E-1
4.378677020E-1,6.732136011E-2,1.022779942E-1,-1.410427094E-1
4.579248940E-1,1.459583938E-1,1.673365831E-1,-1.436691284E-1
4.679537590E-1,1.956244707E-1,2.087106109E-1,-1.442871094E-1
4.780656920E-1,2.349138558E-1,2.136355042E-1,-1.363782883E-1
4.980556410E-1,2.749902308E-1,2.634669542E-1,-8.223342896E-2
5.179016290E-1,2.396271825E-1,2.641128898E-1,-1.539716721E-1
5.378583760E-1,1.437969804E-1,2.324787825E-1,-9.914588928E-2
5.478690000E-1,1.081519723E-1,2.017653733E-1,-9.404754639E-2
5.579928120E-1,2.683621645E-2,1.670261025E-1,-9.506416321E-2
5.680522180E-1,-1.264214516E-4,1.682403982E-1,-4.106426239E-2
5.781024210E-1,3.506481647E-3,1.732361913E-1,-4.811286926E-2
5.979545740E-1,5.921584368E-2,2.115633786E-1,-1.449155807E-1
6.178783620E-1,1.365413666E-1,2.535143793E-1,-4.899501801E-2
6.379523090E-1,1.796071529E-1,2.696226537E-1,-5.237483978E-2
6.579327960E-1,1.423363686E-1,2.426573038E-1,-9.898757935E-2
