"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.315276200E-2,-2.230703831E-4,-1.232132316E-2,-1.832208633E-1
4.584076200E-2,-3.814369440E-3,-3.503113985E-4,-2.550468445E-1
5.722326200E-2,-9.799867868E-3,2.043887973E-3,-1.892061234E-1
6.805901200E-2,-4.757970572E-3,1.209065318E-3,-1.025915146E-1
7.899388700E-2,-5.760371685E-3,1.498028636E-3,-1.252326965E-1
9.893254300E-2,-1.199063659E-2,4.755631089E-3,-2.987079620E-1
1.185794570E-1,-5.316555500E-3,2.312704921E-3,-1.371459961E-1
1.384711850E-1,-1.014715433E-2,4.697009921E-3,-2.715225220E-1
1.583151170E-1,-7.489174604E-3,2.966970205E-3,-1.833772659E-1
1.683319390E-1,-6.974101067E-3,1.986160874E-3,-1.585550308E-1
1.882425560E-1,-6.914168596E-3,1.787483692E-3,-1.508388519E-1
2.082022100E-1,-7.223457098E-3,1.662008464E-3,-1.535978317E-1
2.182064860E-1,-1.109784842E-2,2.398073673E-3,-2.100467682E-1
2.284106240E-1,-7.159143686E-3,2.498909831E-3,-1.610364914E-1
2.482784770E-1,-4.462242126E-3,1.681715250E-3,-1.168088913E-1
2.682281900E-1,-6.436228752E-3,2.913147211E-3,-1.577615738E-1
2.782354760E-1,-3.542095423E-3,1.399978995E-3,-8.309555054E-2
2.882676190E-1,-1.060634851E-3,6.256997585E-4,-2.618789673E-2
3.083052260E-1,8.422455192E-2,6.945821643E-2,-1.150741577E-1
3.283428780E-1,1.189207435E-1,1.320427656E-1,-6.113719940E-2
3.484157910E-1,1.327738762E-1,1.610052735E-1,-4.543018341E-2
3.682505190E-1,9.220612049E-2,1.701038331E-1,-6.567192078E-2
3.783536400E-1,5.269598961E-2,1.573272049E-1,-1.010055542E-1
3.984347310E-1,3.388354182E-2,1.619010270E-1,1.621913910E-2
4.183992540E-1,6.281295419E-2,1.905345172E-1,-6.664276123E-2
4.383051350E-1,1.135947406E-1,2.145421207E-1,-3.479957581E-2
4.582306050E-1,1.629387736E-1,2.423172593E-1,-3.090858459E-3
4.682386830E-1,1.723182201E-1,2.442743033E-1,-5.075740814E-2
4.782417220E-1,1.642699838E-1,2.445363402E-1,-7.340431213E-2
4.981905020E-1,1.360325813E-1,1.962155402E-1,-5.418872833E-2
5.083126320E-1,1.163533330E-1,1.816873699E-1,-3.273105621E-2
5.186981970E-1,9.291857481E-2,1.503472030E-1,6.504058838E-4
5.308634790E-1,5.715978146E-2,1.321424842E-1,2.917003632E-2
5.483157620E-1,4.220402241E-2,1.112685055E-1,1.404762268E-3
5.583447620E-1,1.802074909E-2,8.789512515E-2,-6.713676453E-2
5.782247620E-1,2.490061522E-2,6.972286105E-2,-7.852268219E-2
5.882507620E-1,6.941962242E-2,7.371520996E-2,-6.967544556E-3
5.982647620E-1,8.549457788E-2,8.305980265E-2,-4.913997650E-2
6.182477620E-1,1.122305393E-1,6.051646918E-2,-9.392547607E-2
6.282617620E-1,1.038961411E-1,4.350218177E-2,-9.652614594E-2
6.388087620E-1,1.032283306E-1,2.147625387E-2,-1.110839844E-1
6.584187620E-1,4.890328646E-2,-3.338456899E-2,-7.921314240E-2
6.784477620E-1,-8.336484432E-3,-1.160282046E-1,-1.310606003E-1
6.984517620E-1,-6.319594383E-2,-1.683626175E-1,-1.110267639E-1
7.183497620E-1,-5.559599400E-2,-1.979267448E-1,-1.028890610E-1
7.383157620E-1,-3.083020449E-2,-2.095727324E-1,-1.711959839E-1
7.584627620E-1,-7.626771927E-3,-2.163971364E-1,-1.674919128E-1
7.783697620E-1,-7.447183132E-3,-2.253791392E-1,-1.170320511E-1
7.982147620E-1,-4.742074013E-2,-2.738351822E-1,-2.043828964E-1
8.083817620E-1,-7.420685887E-2,-2.788626552E-1,-2.476015091E-1
8.184407620E-1,-1.100058556E-1,-3.031593561E-1,-2.311096191E-1
8.382407620E-1,-1.332287192E-1,-3.159789443E-1,-1.551580429E-1
8.483527620E-1,-1.381716728E-1,-3.153870106E-1,-1.926631927E-1
8.682607620E-1,-1.185795665E-1,-3.001028299E-1,-2.520055771E-1
8.783077620E-1,-1.023657024E-1,-2.902072072E-1,-2.630701065E-1
8.883177620E-1,-7.629400492E-2,-2.649759650E-1,-2.609148026E-1
9.084437620E-1,-3.657084703E-2,-2.241099328E-1,-2.157812119E-1
9.186657620E-1,-2.941387892E-2,-2.198288143E-1,-1.943902969E-1
9.384677620E-1,-3.168195486E-2,-2.092683315E-1,-2.294464111E-1
9.584457620E-1,-8.158084750E-2,-2.053101510E-1,-2.550106049E-1
9.785317620E-1,-1.114463210E-1,-2.007336318E-1,-1.705694199E-1
9.984067620E-1,-1.014054716E-1,-1.573882550E-1,-2.164011002E-1
1.018203762E0,-6.114205718E-2,-1.115192100E-1,-1.458749771E-1
1.028213762E0,-3.032010794E-2,-8.887261897E-2,-1.098680496E-1
1.038244762E0,-1.332050562E-2,-4.993591458E-2,-1.743459702E-1
1.058203762E0,1.698055863E-2,4.033550620E-3,-3.270893097E-1
1.078186762E0,4.289448261E-2,3.403107822E-2,-5.574703217E-2
1.088229762E0,4.400873184E-2,5.208788812E-2,6.683158875E-2
1.098329762E0,3.366917372E-2,7.305990160E-2,2.901935577E-2
1.118234762E0,-3.263920546E-3,1.077018231E-1,-3.086004257E-1
1.128240762E0,-3.133922815E-3,1.146366000E-1,-2.899551392E-1
1.138287762E0,-2.406895161E-3,1.409228742E-1,-1.204204559E-1
1.158355762E0,4.436010122E-2,1.897235811E-1,-5.652046204E-2
1.178426762E0,8.349531889E-2,2.591958642E-1,-2.320089340E-1
1.198316762E0,1.275898516E-1,2.848965228E-1,-6.828308105E-4
1.218189762E0,1.444026828E-1,3.131915927E-1,8.170127869E-3
1.228220762E0,1.242443621E-1,3.122182488E-1,-8.478450775E-2
1.248314762E0,9.542238712E-2,3.144359589E-1,-1.394081116E-1
1.258334762E0,8.724540472E-2,2.910257578E-1,-4.712867737E-2
1.268430762E0,7.358938456E-2,2.819163501E-1,4.267501831E-2
