"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.486637500E-2,8.198976517E-3,1.469373703E-2,-4.031124115E-1
3.815331200E-2,-1.215171814E-2,3.919839859E-3,-2.403068542E-1
4.967428100E-2,-3.772020340E-3,-5.656972528E-3,2.185821533E-2
6.026526500E-2,8.198976517E-3,1.525625587E-3,1.224145889E-1
7.144675700E-2,1.657867432E-2,8.708238602E-3,-2.602577209E-2
9.095887600E-2,6.994307041E-3,3.215035796E-2,-3.254079819E-1
1.010090630E-1,1.464825869E-2,3.178980947E-2,-2.392854691E-1
1.207362030E-1,4.115402699E-2,3.227047622E-2,6.464290619E-2
1.405184880E-1,1.092335582E-2,1.846931875E-2,-2.048549652E-1
1.506913690E-1,-2.478033304E-3,2.596402168E-2,-3.761606216E-1
1.607273090E-1,-1.439410448E-2,1.696412265E-2,-3.127841949E-1
1.805507640E-1,-4.298749566E-2,-7.315859199E-3,5.351734161E-2
1.905835070E-1,-5.202060938E-2,-1.432491839E-2,-2.099285126E-1
2.006003780E-1,-4.761636257E-2,-5.452379584E-3,-2.962093353E-1
2.204442820E-1,-2.936145663E-2,1.336850226E-2,-8.071422577E-2
2.404307580E-1,-2.954721451E-3,9.132921696E-4,-6.506443024E-2
2.504440040E-1,-8.238226175E-3,1.628711820E-3,-1.644325256E-1
2.703811880E-1,-3.204405308E-3,7.325172424E-3,-2.134666443E-1
2.804617190E-1,-1.451611519E-3,8.491218090E-3,-1.428346634E-1
2.905049840E-1,-1.238587499E-2,4.351645708E-3,-6.616973877E-2
3.006881170E-1,-2.748447657E-2,-4.445388913E-3,-7.446861267E-2
3.205807160E-1,-4.363238811E-2,-1.501172781E-3,-2.360124588E-1
3.405443660E-1,-5.005165935E-2,-1.057843864E-2,-8.617687225E-2
3.505508080E-1,-4.981771111E-2,1.605615020E-3,-9.331035614E-2
3.605930290E-1,-2.689081430E-2,8.867144585E-3,-1.602973938E-1
3.804186940E-1,-1.106110215E-2,2.608886361E-2,-1.169681549E-1
4.004588610E-1,4.081165791E-2,5.123168230E-2,-1.587009430E-1
4.204629020E-1,4.857885838E-2,5.133090913E-2,-4.112434387E-2
4.404859130E-1,3.177329898E-2,4.756119847E-2,-1.701793671E-1
4.604974150E-1,1.762449741E-3,4.440309107E-2,-1.592149734E-1
4.805622910E-1,9.398072958E-3,3.596772254E-2,-8.118629456E-2
4.907052700E-1,8.515477180E-3,3.834331036E-2,-8.228969574E-2
5.106732550E-1,2.459445596E-2,5.138632655E-2,-1.562814713E-1
5.305040010E-1,6.074488163E-2,7.459130883E-2,-1.453018188E-1
5.503914370E-1,9.202176332E-2,8.273611963E-2,-6.725502014E-2
5.703725460E-1,9.702003002E-2,8.070632815E-2,-1.363525391E-1
5.803768980E-1,6.831246614E-2,6.273210049E-2,-1.530113220E-1
6.004729120E-1,4.733282328E-2,5.168050528E-2,-1.110467911E-1
6.203896650E-1,2.503097057E-2,3.285963833E-2,-1.026687622E-1
6.404163530E-1,2.877205610E-2,3.788606822E-2,-1.541557312E-1
6.507933010E-1,4.116231203E-2,3.567582369E-2,-1.541576385E-1
6.705412620E-1,5.361390114E-2,5.014413595E-2,-1.086788177E-1
6.904815030E-1,7.860338688E-2,4.058061540E-2,-1.146621704E-1
7.004833760E-1,8.130198717E-2,5.286471546E-2,-1.254482269E-1
7.204885310E-1,5.558568239E-2,4.269911349E-2,-1.709985733E-1
7.403910700E-1,2.910822630E-2,1.598493755E-2,-1.388607025E-1
7.504511600E-1,1.793605089E-2,7.437199354E-3,-1.018543243E-1
7.704217270E-1,-1.910632849E-2,-1.843076944E-2,-1.835126877E-1
7.804869880E-1,-1.761364937E-2,-5.848407745E-3,-1.752748489E-1
7.906226190E-1,-1.979976892E-2,-9.835749865E-3,-1.311149597E-1
8.012459340E-1,2.948224545E-3,-1.035922766E-2,-9.173202515E-2
8.207586710E-1,1.260930300E-2,3.079622984E-3,-1.482372284E-1
8.406068550E-1,2.253240347E-2,-1.190207154E-2,-1.772098541E-1
8.605499010E-1,1.769959927E-3,-2.276066691E-2,-1.355018616E-1
8.806996620E-1,-2.900403738E-2,-3.366364539E-2,-1.357135773E-1
9.004633530E-1,-5.923739076E-2,-5.432121456E-2,-1.850204468E-1
9.105193010E-1,-5.859771371E-2,-4.795816541E-2,-1.779537201E-1
9.303740120E-1,-6.084156036E-2,-5.889855325E-2,-1.303367615E-1
9.404031310E-1,-5.742904544E-2,-5.825100094E-2,-1.364412308E-1
9.603747200E-1,-3.544002771E-2,-3.401594609E-2,-1.653366089E-1
9.703784850E-1,-2.519950271E-2,-3.486067802E-2,-1.426343918E-1
9.905205580E-1,-1.789501309E-2,-3.904369473E-2,-1.594657898E-1
1.000595404E0,-2.759701014E-2,-3.518521786E-2,-1.690940857E-1
1.020471288E0,-4.144066572E-2,-3.939455003E-2,-1.691627502E-1
1.040427009E0,-6.237936020E-2,-4.883006960E-2,-1.513195038E-1
1.060385439E0,-6.780412793E-2,-5.157153308E-2,-1.561956406E-1
1.070419844E0,-6.193554401E-2,-4.638442397E-2,-1.681900024E-1
1.090409898E0,-4.422175884E-2,-3.804494441E-2,-1.657752991E-1
1.100441074E0,-3.484115005E-2,-1.602204889E-2,-1.489725113E-1
1.120636956E0,-2.191573381E-3,-7.587611675E-3,-1.476593018E-1
1.140474176E0,1.354601979E-2,6.236851215E-3,-1.858301163E-1
1.160508481E0,3.575205803E-3,-1.964837313E-3,-1.222038269E-1
