"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.708747500E-2,1.294136047E-2,1.180517673E-2,-6.883144379E-2
4.952447500E-2,1.174414158E-2,1.779067516E-2,-9.636497498E-2
6.132997500E-2,2.371525764E-2,9.410977364E-3,-1.370668411E-1
7.169972500E-2,2.610945702E-2,1.419937611E-2,-1.310806274E-1
8.199810000E-2,1.892685890E-2,2.228379250E-3,-9.037971497E-2
1.019126310E-1,5.941867828E-3,-2.606809139E-3,-5.590343475E-2
1.218385140E-1,2.763509750E-2,1.103389263E-2,-1.570091248E-1
1.318484940E-1,2.461850643E-2,9.997069836E-3,-1.457996368E-1
1.517219790E-1,1.359176636E-2,4.669427872E-3,-7.293128967E-2
1.717258510E-1,2.578127384E-2,9.052038193E-3,-1.473188400E-1
1.818301630E-1,2.362596989E-2,1.038354635E-2,-1.387844086E-1
2.017153970E-1,1.741445065E-2,9.281635284E-3,-5.302524567E-2
2.118179360E-1,9.541749954E-3,4.476964474E-3,-5.497741699E-2
2.317148400E-1,2.700102329E-2,1.284796000E-2,-1.615543365E-1
2.518643160E-1,2.245354652E-2,1.005548239E-2,-1.310586929E-1
2.717099350E-1,1.348567009E-2,6.829559803E-3,-8.703231812E-2
2.916415900E-1,1.846385002E-2,8.675456047E-3,-1.113834381E-1
3.116302530E-1,2.510094643E-2,2.859950066E-3,-1.255245209E-1
3.216343640E-1,3.295314312E-2,8.607149124E-3,-1.146593094E-1
3.416409470E-1,4.265058041E-2,1.333892345E-3,-9.529495239E-2
3.516982110E-1,4.185426235E-2,-2.303600311E-3,-8.086681366E-2
3.617803430E-1,4.694962502E-2,-1.339912415E-3,-1.023817062E-1
3.719674090E-1,6.878602505E-2,3.082931042E-3,-1.466550827E-1
3.916982080E-1,7.557988167E-2,1.618510485E-2,-1.707592010E-1
4.017638410E-1,7.396590710E-2,7.178068161E-3,-9.067249298E-2
4.216833160E-1,6.789040565E-2,-4.151105881E-3,-3.346633911E-2
4.416014350E-1,9.595859051E-2,1.914262772E-2,-2.169799805E-1
4.516419550E-1,1.114703417E-1,2.439868450E-2,-2.052717209E-1
4.617327150E-1,8.795630932E-2,1.155346632E-2,-1.240625381E-1
4.817752850E-1,8.031082153E-2,1.452618837E-2,-8.554458618E-3
5.016869270E-1,9.771454334E-2,3.208762407E-2,-1.576013565E-1
5.217083380E-1,9.214699268E-2,2.981704473E-2,-1.807537079E-1
5.317234060E-1,7.396018505E-2,3.352785110E-2,-4.579734802E-2
5.518427070E-1,8.864438534E-2,4.474115372E-2,-9.057998657E-2
5.716685330E-1,9.935903549E-2,6.194347143E-2,-1.737298965E-1
5.818760040E-1,8.997666836E-2,6.584447622E-2,-1.703701019E-1
6.016868570E-1,7.382845879E-2,5.709624290E-2,-7.141971588E-2
6.219288200E-1,7.057607174E-2,6.363981962E-2,-5.274105072E-2
6.419653110E-1,6.850969791E-2,7.626950741E-2,-1.405973434E-1
6.617621840E-1,6.869482994E-2,8.430314064E-2,-1.769857407E-1
6.718823290E-1,5.835711956E-2,8.933073282E-2,-1.173267365E-1
6.918396880E-1,4.030859470E-2,8.281451464E-2,-4.703617096E-2
7.117232780E-1,4.260098934E-2,9.757286310E-2,-1.192235947E-1
7.217253760E-1,3.492665291E-2,1.060545444E-1,-1.684656143E-1
7.317314250E-1,2.129554749E-2,1.038408279E-1,-1.482667923E-1
7.418824500E-1,1.610326767E-2,1.099365950E-1,-1.352453232E-1
7.520104620E-1,8.755922318E-3,9.708201885E-2,-1.101989746E-1
7.717582210E-1,-3.759145737E-3,9.755569696E-2,-1.235980988E-1
7.917476610E-1,-8.470654488E-3,1.077183485E-1,-1.238098145E-1
