"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.650580300E-2,1.446741819E-2,1.146352291E-2,-5.637073517E-2
4.929430300E-2,1.686167717E-2,1.505482197E-2,-1.018610001E-1
6.068455300E-2,8.481919765E-3,1.026642323E-2,-1.736869812E-1
7.156317800E-2,9.916186333E-3,1.154839993E-2,-1.806468964E-1
8.182999000E-2,3.930687904E-3,5.562901497E-3,-1.471281052E-1
9.203139600E-2,3.624975681E-3,4.514813423E-3,-6.034088135E-2
1.119484510E-1,4.023671150E-3,4.827141762E-3,-6.878089905E-2
1.319174650E-1,7.797002792E-3,9.987175465E-3,-1.349382401E-1
1.521384680E-1,9.507715702E-3,1.190733910E-2,-1.620578766E-1
1.718974690E-1,3.309309483E-3,9.189903736E-3,-1.276454926E-1
1.920537190E-1,-2.453923225E-4,-3.465235233E-3,-6.435966492E-2
2.120592820E-1,5.416512489E-3,7.589161396E-3,-8.649158478E-2
2.318971720E-1,9.848475456E-3,5.450010300E-3,-1.721220016E-1
2.418974870E-1,5.917787552E-3,9.999096394E-3,-1.791715622E-1
2.619082240E-1,6.056845188E-3,8.009135723E-3,-9.658527374E-2
2.719180130E-1,-1.692831516E-3,-1.541078091E-3,-4.486751556E-2
2.819429080E-1,3.059446812E-3,3.835380077E-3,-4.432773590E-2
2.919528550E-1,6.450474262E-3,8.134663105E-3,-9.544277191E-2
3.118613160E-1,-7.228255272E-4,1.465576887E-2,-2.198133469E-1
3.318344310E-1,-8.711695671E-3,8.596897125E-3,-1.298046112E-1
3.518604600E-1,-1.597338915E-2,7.402896881E-5,-5.760478973E-2
3.717722170E-1,-1.565116644E-2,9.696364403E-3,-1.568355560E-1
3.817915100E-1,-1.618081331E-2,8.874714375E-3,-1.855916977E-1
4.018122290E-1,-2.146583796E-2,-7.429122925E-4,-1.103382111E-1
4.118400160E-1,-2.473288774E-2,5.742132664E-3,-1.007995605E-1
4.320871060E-1,-2.298623323E-2,2.071279287E-2,-8.873939514E-2
4.518198780E-1,-2.729499340E-2,2.148139477E-2,-1.293411255E-1
4.620643400E-1,-2.206385136E-2,3.503698111E-2,-1.317768097E-1
4.819109370E-1,-9.487867355E-3,4.119330645E-2,-1.177682877E-1
5.021150860E-1,-9.279072285E-3,4.455715418E-2,-1.275558472E-1
5.218928730E-1,-9.053051472E-3,6.773787737E-2,-1.156349182E-1
5.418723200E-1,-2.922713757E-3,7.149791718E-2,-1.038446426E-1
5.618324320E-1,1.187962294E-2,8.624708652E-2,-1.078834534E-1
5.718361170E-1,2.155137062E-2,9.151250124E-2,-1.368713379E-1
5.821039600E-1,2.294045687E-2,1.030268073E-1,-1.622371674E-1
6.018623420E-1,2.921581268E-2,1.198408008E-1,-1.051549911E-1
6.119990720E-1,3.147405386E-2,1.211445332E-1,-8.500480652E-2
6.224784370E-1,3.490817547E-2,1.300920844E-1,-6.731033325E-2
6.419374610E-1,5.123466253E-2,1.459830403E-1,-1.039190292E-1
6.618754670E-1,5.968165398E-2,1.598579288E-1,-1.519756317E-1
6.718866350E-1,6.396961212E-2,1.570366621E-1,-1.287603378E-1
6.819627190E-1,6.122165918E-2,1.624414921E-1,-1.163148880E-1
7.018567820E-1,6.835740805E-2,1.623211503E-1,-6.355953217E-2
7.118772920E-1,7.106620073E-2,1.643802524E-1,-5.204677582E-2
