"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.186821700E-2,4.408612847E-3,1.153033972E-2,-2.263860703E-1
6.447627900E-2,2.920165658E-3,9.210407734E-3,-1.683444977E-1
7.570731000E-2,9.884834290E-4,3.654003143E-3,-5.519199371E-2
8.674482600E-2,4.567354918E-4,-8.983969688E-3,-9.661674500E-3
9.752958400E-2,2.093479037E-3,5.870819092E-3,-1.136894226E-1
1.174014020E-1,3.176257014E-3,1.248133183E-2,-2.002592087E-1
1.278788720E-1,2.648845315E-3,1.075196266E-2,-1.670789719E-1
1.481064740E-1,6.735533476E-3,-3.192186356E-3,-5.811023712E-2
1.674621250E-1,1.128137112E-3,6.438970566E-3,-1.134901047E-1
1.870907870E-1,1.282468438E-3,4.683077335E-3,-1.690626144E-1
1.970940640E-1,2.261832356E-3,1.001298428E-2,-1.475133896E-1
2.170140220E-1,9.389966726E-4,4.526615143E-3,-6.847953796E-2
2.270611820E-1,1.166969538E-3,6.042599678E-3,-7.942295074E-2
2.372202620E-1,2.403318882E-3,8.776962757E-3,-1.327066422E-1
2.472708020E-1,8.114546537E-3,1.898485422E-2,-1.589994431E-1
2.670539570E-1,-8.900761604E-4,6.524443626E-3,-1.433944702E-1
2.869757450E-1,3.405481577E-3,5.903363228E-3,-8.046913147E-2
3.069074420E-1,2.782940865E-3,1.368474960E-2,-1.762504578E-1
3.169153920E-1,2.052336931E-3,1.768845320E-2,-1.917924881E-1
3.372011040E-1,-5.554899573E-3,8.254468441E-3,-1.115055084E-1
3.569757820E-1,-3.375351429E-3,2.970874310E-3,-1.054868698E-1
3.769917020E-1,-1.408748329E-2,1.254558563E-3,-1.665945053E-1
3.968904320E-1,-1.567111909E-2,1.264882088E-2,-1.750259399E-1
4.170621140E-1,-2.607189119E-2,1.755106449E-2,-1.187477112E-1
4.270992280E-1,-2.106948197E-2,1.389908791E-2,-1.139612198E-1
4.469528130E-1,-3.172935545E-2,3.909915686E-2,-9.609222412E-2
4.668912090E-1,-3.187112510E-2,3.632205725E-2,-1.129760742E-1
4.868485580E-1,-3.296393156E-2,4.043501616E-2,-1.537294388E-1
5.072606460E-1,-4.329574108E-2,6.831467152E-2,-5.083751678E-2
5.271211680E-1,-3.960113227E-2,9.253489971E-2,-1.132326126E-1
5.373727550E-1,-5.129845440E-2,9.922152758E-2,-1.408929825E-1
5.570564450E-1,-5.368016660E-2,1.194837689E-1,-1.830577850E-1
5.770273670E-1,-5.790796876E-2,1.282010674E-1,-1.079549789E-1
5.969158480E-1,-6.562811136E-2,1.323640347E-1,-7.600021362E-2
6.169609680E-1,-6.436349452E-2,1.596508622E-1,-1.423444748E-1
6.370507480E-1,-6.869679689E-2,1.734378338E-1,-1.453428268E-1
6.569499430E-1,-6.126645207E-2,1.750310063E-1,-1.483325958E-1
6.768619920E-1,-6.973220408E-2,1.764094830E-1,-8.252620697E-2
6.868836670E-1,-7.205538452E-2,1.846985817E-1,-1.477670670E-1
7.068691730E-1,-6.096972525E-2,1.934392750E-1,-1.646604538E-1
7.169022570E-1,-5.510888994E-2,1.874772012E-1,-1.951694489E-1
7.269652990E-1,-6.259533763E-2,1.866125166E-1,-1.538801193E-1
7.370758200E-1,-5.542965233E-2,1.962470412E-1,-1.222677231E-1
7.569312110E-1,-5.186684430E-2,1.804845929E-1,-1.087169647E-1
7.670382760E-1,-6.340280175E-2,1.855356693E-1,-1.085853577E-2
7.869485750E-1,-4.636514187E-2,1.830598712E-1,-1.978492737E-2
7.969779580E-1,-4.003512859E-2,1.962278783E-1,-1.026716232E-1
8.191174960E-1,-3.277377784E-2,2.156525254E-1,-2.501907349E-1
8.368813420E-1,-3.068217635E-2,2.070050836E-1,-2.506685257E-1
8.468933420E-1,-3.461676836E-2,1.812519729E-1,-1.886529922E-1
8.571753420E-1,-1.972728968E-2,1.845013797E-1,-6.324958801E-2
8.768583420E-1,-2.576218545E-2,1.857206523E-1,-1.415014267E-1
8.870773420E-1,-1.593735814E-2,1.856594086E-1,-1.883945465E-1
9.068643420E-1,-1.005716622E-2,1.765794754E-1,-1.241540909E-1
9.169933420E-1,-1.277764142E-2,1.685005724E-1,-5.615520477E-2
9.271983420E-1,-6.025999784E-3,1.563100517E-1,-7.789993286E-2
9.468203420E-1,1.094594598E-3,1.447493732E-1,-1.428041458E-1
9.568283420E-1,7.494792342E-3,1.519693434E-1,-1.632757187E-1
9.668303420E-1,1.753993332E-2,1.348389089E-1,-1.848993301E-1
9.785723420E-1,6.525769830E-3,1.350582540E-1,-1.586618423E-1
9.967993420E-1,1.505373418E-2,1.105277538E-1,-1.133041382E-1
1.006884342E0,2.667491138E-2,1.053688526E-1,-1.397075653E-1
1.017396342E0,2.502550185E-2,9.456759691E-2,-1.457424164E-1
1.037147342E0,3.851711750E-2,8.226135373E-2,-1.733245850E-1
1.057215342E0,3.974913061E-2,6.490114331E-2,-1.182613373E-1
1.078957342E0,6.487359107E-2,3.482222557E-2,-1.637325287E-1
1.091905342E0,6.222245097E-2,1.626282930E-2,-1.469831467E-1
1.106873342E0,6.455011666E-2,8.766710758E-3,-1.434106827E-1
1.117069342E0,6.013149023E-2,-8.006572723E-3,-1.350231171E-1
1.136828342E0,7.646302879E-2,-2.009397745E-2,-1.433534622E-1
1.146863342E0,6.775943935E-2,-3.235286474E-2,-1.409177780E-1
1.156873342E0,7.208645344E-2,-4.459261894E-2,-1.396818161E-1
1.166979342E0,7.959192991E-2,-5.499297380E-2,-1.372489929E-1
1.178652342E0,7.456330955E-2,-7.044559717E-2,-1.359758377E-1
1.196891342E0,7.594925165E-2,-7.012581825E-2,-1.944961548E-1
1.217224342E0,7.822060585E-2,-1.050180197E-1,-1.438980103E-1
1.236848342E0,7.587489486E-2,-1.056386232E-1,-1.291551590E-1
1.246904342E0,7.037855685E-2,-1.057615280E-1,-1.026172638E-1
1.267050342E0,7.309918106E-2,-1.173219681E-1,-1.706209183E-1
1.286834342E0,6.948024035E-2,-1.349825263E-1,-2.014532089E-1
1.296852342E0,6.532776356E-2,-1.407747269E-1,-1.641559601E-1
1.306854342E0,5.390667915E-2,-1.451503038E-1,-1.196622849E-1
1.316923342E0,6.153163314E-2,-1.468744278E-1,-1.158561707E-1
1.326974342E0,5.157315731E-2,-1.555410028E-1,-1.443462372E-1
1.346825342E0,4.496335983E-2,-1.399634480E-1,-2.038240433E-1
1.357179342E0,4.269756377E-2,-1.390894651E-1,-2.036447525E-1
1.376984342E0,4.162618518E-2,-1.529318094E-1,-1.589193344E-1
1.387082342E0,3.597483039E-2,-1.488652229E-1,-1.311483383E-1
1.406938342E0,2.370896935E-2,-1.434637904E-1,-1.522321701E-1
1.426865342E0,1.950366795E-2,-1.238631010E-1,-1.734590530E-1
