"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.224085300E-2,9.701550007E-4,-2.161800861E-3,-5.145549774E-2
7.493191500E-2,2.235427499E-3,-3.398865461E-3,-6.962776184E-2
8.635144600E-2,1.173764467E-3,-2.279698849E-3,-5.526828766E-2
9.695621200E-2,6.652027369E-4,-1.352548599E-3,-3.178596497E-2
1.074840950E-1,1.301467419E-4,-2.970695496E-4,-5.740165710E-3
1.174855360E-1,6.772577763E-5,-1.596212387E-4,7.600784302E-4
1.374128670E-1,-8.167326450E-5,3.640502691E-4,1.605987549E-2
1.573757000E-1,-1.103058457E-5,-1.097433269E-4,-9.389877319E-3
1.676443390E-1,1.715943217E-4,2.222945914E-4,4.328632355E-2
1.873710680E-1,8.054304868E-2,-2.434307635E-1,8.285903931E-2
2.072975000E-1,1.316911876E-1,-4.270132780E-1,-8.382797241E-4
2.175692390E-1,1.492502689E-1,-5.111918449E-1,-3.191566467E-2
2.373850430E-1,2.079171687E-1,-6.942169666E-1,1.362419128E-2
2.573279940E-1,2.597373128E-1,-8.943492174E-1,3.040027618E-2
2.773532320E-1,3.192316890E-1,-1.053636909E0,-1.191673279E-1
2.973022910E-1,3.657827079E-1,-1.199621677E0,-1.225404739E-1
3.172328060E-1,4.169646502E-1,-1.353712916E0,-7.057571411E-2
3.372474350E-1,4.689666033E-1,-1.459358931E0,-1.834096909E-1
3.473877060E-1,4.759166241E-1,-1.487236977E0,-1.936941147E-1
3.574593420E-1,4.933632314E-1,-1.511218786E0,-2.624673843E-1
3.773635690E-1,1.402985454E-1,-5.156855583E-1,-1.635313034E-1
3.972898750E-1,3.526424617E-2,-1.795529127E-1,-2.210350037E-1
4.073319260E-1,2.643682063E-3,-1.272306442E-1,-2.140207291E-1
4.176109520E-1,-2.155277878E-2,-1.008986235E-1,-2.445430756E-1
4.373677210E-1,-6.593724340E-2,-9.957969189E-2,-1.895418167E-1
4.572651630E-1,-1.513903737E-1,-1.124036312E-1,-1.530170441E-1
4.773545240E-1,-2.249130905E-1,-9.127187729E-2,-2.093992233E-1
4.973168640E-1,-3.003915846E-1,-8.017897606E-2,-2.250299454E-1
5.073264210E-1,-3.393564820E-1,-7.080399990E-2,-1.968355179E-1
5.173666990E-1,-3.791598976E-1,-7.539463043E-2,-1.462602615E-1
5.372976580E-1,-4.639890790E-1,-4.356586933E-2,-1.349544525E-1
5.573411480E-1,-5.864734054E-1,1.511895657E-2,-1.444387436E-1
5.773032700E-1,-6.547737122E-1,4.222440720E-2,-8.823680878E-2
5.873111240E-1,-6.953659058E-1,5.782234669E-2,-6.419563293E-2
6.073192640E-1,-7.547816634E-1,9.979045391E-2,-8.631229401E-2
6.272657990E-1,-8.251639009E-1,1.275786161E-1,-6.283283234E-2
6.375258880E-1,-8.412833214E-1,1.428022385E-1,-6.369590759E-2
6.573832050E-1,-8.991432190E-1,1.950752735E-1,-1.877021790E-2
6.772912840E-1,-9.193590283E-1,2.561792135E-1,-4.168224335E-2
6.972563040E-1,-9.541799426E-1,3.171859980E-1,-7.123947144E-4
7.172623090E-1,-9.623631835E-1,3.900014162E-1,1.087379456E-2
7.272751430E-1,-9.675436020E-1,4.322366714E-1,6.230354309E-3
7.472625190E-1,-9.472262859E-1,5.337976813E-1,1.785087585E-2
7.673893630E-1,-9.429415464E-1,7.164589167E-1,3.358840942E-2
7.873115740E-1,-9.173495770E-1,8.478205204E-1,6.362819672E-2
8.072513770E-1,-8.616786003E-1,9.860942364E-1,-3.650665283E-3
8.273093270E-1,-8.080160618E-1,1.110998750E0,5.912303925E-2
8.473020650E-1,-3.835859001E-1,6.649357080E-1,-2.938365936E-2
8.672719990E-1,-8.099114895E-2,2.450050414E-1,-5.815982819E-2
8.874684830E-1,-1.370513439E-2,1.622686088E-1,-1.291465759E-1
8.976787300E-1,-3.886580467E-3,1.570551246E-1,-8.866310120E-2
9.175126660E-1,2.045953274E-2,1.551570594E-1,-1.249780655E-1
9.382529000E-1,6.419479847E-2,2.955772877E-1,-1.282367706E-1
9.575159580E-1,1.007232070E-1,3.810447752E-1,-1.601285934E-1
9.773429730E-1,1.458096504E-1,4.301459491E-1,-1.681289673E-1
9.883274750E-1,1.610184312E-1,4.686807096E-1,-1.871356964E-1
1.007534852E0,1.924398839E-1,4.890928864E-1,-1.618528366E-1
1.027315696E0,2.332184911E-1,4.842075408E-1,-1.439695358E-1
1.037317837E0,2.421819568E-1,4.893943965E-1,-1.536903381E-1
1.047350907E0,2.605685890E-1,4.677352905E-1,-1.371526718E-1
1.067267710E0,3.029827774E-1,4.244574308E-1,-1.915283203E-1
1.077288344E0,3.034459054E-1,3.952992857E-1,-1.164388657E-1
1.097316069E0,3.362339437E-1,3.146529198E-1,-7.283782959E-2
1.107447523E0,3.508445919E-1,2.558460832E-1,-6.601142883E-2
1.127280364E0,3.868946731E-1,1.368169487E-1,-7.987308502E-2
1.137286171E0,4.209321141E-1,3.079138696E-2,-4.188251495E-2
1.157358276E0,4.558327198E-1,-1.122042835E-1,1.884174347E-2
1.177265802E0,5.039113760E-1,-2.667376399E-1,3.670215607E-2
1.197297434E0,5.328823924E-1,-4.288045168E-1,1.078605652E-3
1.217246842E0,5.860837102E-1,-5.866968632E-1,2.246093750E-2
1.227295410E0,6.063899398E-1,-6.670647860E-1,2.436161041E-2
1.247256836E0,6.683055162E-1,-8.386456966E-1,2.613353729E-2
1.257272407E0,6.919305325E-1,-9.094028473E-1,1.764774323E-2
1.277279835E0,7.498160005E-1,-1.051177740E0,-3.713512421E-2
1.297282942E0,8.072671294E-1,-1.183987856E0,-5.769920349E-2
1.307283960E0,8.320130110E-1,-1.233505487E0,-6.883621216E-2
1.317310969E0,8.636322021E-1,-1.291501760E0,-8.937072754E-2
1.337285975E0,9.001185894E-1,-1.431289554E0,-1.476087570E-1
1.357401727E0,9.554378390E-1,-1.483399630E0,-1.808738708E-1
1.367412852E0,5.530942082E-1,-8.451710343E-1,-2.132968903E-1
1.377420415E0,3.213088214E-1,-4.826806784E-1,-2.130155563E-1
1.397341837E0,1.087234467E-1,-1.615992785E-1,-1.806411743E-1
1.417312192E0,7.873751223E-2,-1.918272972E-1,-1.955204010E-1
1.427334085E0,6.279999763E-2,-1.973307133E-1,-2.005901337E-1
1.439375531E0,3.347966075E-2,-2.257874012E-1,-2.355813980E-1
1.457326978E0,3.938816488E-2,-2.064322233E-1,-2.322463989E-1
