"Frequency (Hz)","Absolute Amplitude (a.u.)"
7.714989658E-1,3.661390137E0
1.542997932E0,3.923560623E0
2.314496897E0,3.565090809E0
3.085995863E0,4.427961006E0
3.857494829E0,4.740379888E0
4.628993795E0,5.350939832E0
5.400492761E0,5.511597661E0
6.171991727E0,6.975444556E0
6.943490692E0,8.102637303E0
7.714989658E0,8.734619976E0
8.486488624E0,1.118932837E1
9.257987590E0,1.394090648E1
1.002948656E1,1.810618906E1
1.080098552E1,2.616766385E1
1.157248449E1,4.321539230E1
1.234398345E1,1.175756370E2
1.311548242E1,1.825091562E2
1.388698138E1,5.302350962E1
1.465848035E1,3.047890029E1
1.542997932E1,2.147180224E1
1.620147828E1,1.682799912E1
1.697297725E1,1.477043117E1
1.774447621E1,1.317663629E1
1.851597518E1,1.096451457E1
1.928747415E1,9.939045667E0
2.005897311E1,8.875936351E0
2.083047208E1,9.141831899E0
2.160197104E1,7.511350563E0
2.237347001E1,7.215814327E0
2.314496897E1,8.755679416E0
2.391646794E1,8.358638731E0
2.468796691E1,1.240679754E1
2.545946587E1,7.033605509E1
2.623096484E1,1.919332598E1
2.700246380E1,1.121283621E1
2.777396277E1,8.501113625E0
2.854546174E1,8.878636581E0
2.931696070E1,1.034474416E1
3.008845967E1,9.240064285E0
3.085995863E1,7.344017959E0
3.163145760E1,8.215004107E0
3.240295656E1,8.231020646E0
3.317445553E1,7.954125889E0
3.394595450E1,6.569234214E0
3.471745346E1,9.842950874E0
3.548895243E1,1.282468600E1
3.626045139E1,1.382481179E1
3.703195036E1,2.273073895E1
3.780344933E1,5.040842210E1
3.857494829E1,2.111973882E2
3.934644726E1,3.632368351E1
4.011794622E1,1.897878372E1
4.088944519E1,1.242337596E1
4.166094415E1,1.166519006E1
4.243244312E1,9.547265138E0
4.320394209E1,5.552645378E0
4.397544105E1,8.734509894E0
4.474694002E1,5.711632768E0
4.551843898E1,7.302734746E0
4.628993795E1,5.928451043E0
4.706143692E1,8.834609883E0
4.783293588E1,5.422039259E0
4.860443485E1,8.558719784E0
4.937593381E1,1.033477597E1
5.014743278E1,1.293990826E1
5.091893174E1,4.160780816E1
5.169043071E1,2.655515501E1
5.246192968E1,5.717657756E0
5.323342864E1,1.227675539E1
5.400492761E1,8.931075572E0
5.477642657E1,9.661821093E0
5.554792554E1,3.491756016E0
5.631942451E1,8.017124641E0
5.709092347E1,4.101299542E0
5.786242244E1,9.737100038E0
5.863392140E1,8.969630449E0
5.940542037E1,9.839764525E0
6.017691933E1,5.760917725E0
6.094841830E1,3.653834747E0
6.171991727E1,6.044009492E0
6.249141623E1,1.189798413E1
6.326291520E1,3.304482564E0
6.403441416E1,7.943488188E1
6.480591313E1,5.901633531E0
6.557741210E1,1.528695583E1
6.634891106E1,4.575918220E0
6.712041003E1,5.056116097E0
6.789190899E1,1.509625275E1
6.866340796E1,2.427746931E0
6.943490692E1,1.321153355E1
7.020640589E1,5.032286880E0
7.097790486E1,1.362249379E1
7.174940382E1,3.484992917E0
7.252090279E1,4.363368555E0
7.329240175E1,7.019132658E0
7.406390072E1,5.780738630E0
7.483539969E1,9.484655667E0
7.560689865E1,7.682041544E0
7.637839762E1,1.786873136E1
7.714989658E1,2.568417209E1
7.792139555E1,1.127279128E1
7.869289451E1,6.728601456E0
7.946439348E1,5.814544161E0
8.023589245E1,3.587054498E0
8.100739141E1,4.515438699E0
8.177889038E1,4.637056392E0
8.255038934E1,4.872199918E0
8.332188831E1,3.387657234E0
8.409338728E1,3.825467753E0
8.486488624E1,3.471144328E0
8.563638521E1,2.207237713E0
8.640788417E1,3.474504973E0
8.717938314E1,2.228393046E0
8.795088210E1,1.807516550E0
8.872238107E1,3.198823190E0
8.949388004E1,1.414718446E1
9.026537900E1,4.631019232E0
9.103687797E1,2.705415906E0
9.180837693E1,2.273645176E0
9.257987590E1,3.000625257E0
9.335137487E1,2.524870515E0
9.412287383E1,2.920048216E0
9.489437280E1,4.084191986E0
9.566587176E1,1.992583023E0
9.643737073E1,2.474049247E0
9.720886969E1,2.155779991E0
9.798036866E1,2.142026058E0
